index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1984941,São Benedito do Sul,2020-03-27,0.0,0,0,0,4.571428571428571,0.14285714285714285,32.0,1.0
1984942,São Benedito do Sul,2020-03-28,0.0,0,0,0,4.428571428571429,0.0,31.0,0.0
1984943,São Benedito do Sul,2020-03-29,0.0,0,0,0,4.428571428571429,0.0,31.0,0.0
1984944,São Benedito do Sul,2020-03-30,0.0,0,0,0,4.428571428571429,0.0,31.0,0.0
1984945,São Benedito do Sul,2020-03-31,0.0,0,0,0,4.428571428571429,0.0,31.0,0.0
1984946,São Benedito do Sul,2020-04-01,0.0,0,0,0,4.428571428571429,0.0,31.0,0.0
1984947,São Benedito do Sul,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1984948,São Benedito do Sul,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1984949,São Benedito do Sul,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1984950,São Benedito do Sul,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1984951,São Benedito do Sul,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1984952,São Benedito do Sul,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1984953,São Benedito do Sul,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1984954,São Benedito do Sul,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1984955,São Benedito do Sul,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1984956,São Benedito do Sul,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1984957,São Benedito do Sul,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1984958,São Benedito do Sul,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1984959,São Benedito do Sul,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1984960,São Benedito do Sul,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1984961,São Benedito do Sul,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1984962,São Benedito do Sul,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1984963,São Benedito do Sul,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1984964,São Benedito do Sul,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1984965,São Benedito do Sul,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1984966,São Benedito do Sul,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1984967,São Benedito do Sul,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1984968,São Benedito do Sul,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1984969,São Benedito do Sul,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1984970,São Benedito do Sul,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1984971,São Benedito do Sul,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1984972,São Benedito do Sul,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1984973,São Benedito do Sul,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1984974,São Benedito do Sul,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1984975,São Benedito do Sul,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1984976,São Benedito do Sul,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1984977,São Benedito do Sul,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1984978,São Benedito do Sul,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1984979,São Benedito do Sul,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1984980,São Benedito do Sul,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1984981,São Benedito do Sul,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1984982,São Benedito do Sul,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1984983,São Benedito do Sul,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1984984,São Benedito do Sul,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1984985,São Benedito do Sul,2020-05-10,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1984986,São Benedito do Sul,2020-05-11,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1984987,São Benedito do Sul,2020-05-12,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1984988,São Benedito do Sul,2020-05-13,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1984989,São Benedito do Sul,2020-05-14,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1984990,São Benedito do Sul,2020-05-15,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1984991,São Benedito do Sul,2020-05-16,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1984992,São Benedito do Sul,2020-05-17,1.0,0,0,0,0.0,0.0,0.0,0.0
1984993,São Benedito do Sul,2020-05-18,1.0,0,0,0,0.0,0.0,0.0,0.0
1984994,São Benedito do Sul,2020-05-19,1.0,0,0,0,0.0,0.0,0.0,0.0
1984995,São Benedito do Sul,2020-05-20,1.0,0,0,0,0.0,0.0,0.0,0.0
1984996,São Benedito do Sul,2020-05-21,1.0,0,0,0,0.0,0.0,0.0,0.0
1984997,São Benedito do Sul,2020-05-22,2.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1984998,São Benedito do Sul,2020-05-23,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1984999,São Benedito do Sul,2020-05-24,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1985000,São Benedito do Sul,2020-05-25,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1985001,São Benedito do Sul,2020-05-26,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1985002,São Benedito do Sul,2020-05-27,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1985003,São Benedito do Sul,2020-05-28,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1985004,São Benedito do Sul,2020-05-29,2.0,0,0,0,0.0,0.0,0.0,0.0
1985005,São Benedito do Sul,2020-05-30,2.0,0,0,0,0.0,0.0,0.0,0.0
1985006,São Benedito do Sul,2020-05-31,2.0,0,0,0,0.0,0.0,0.0,0.0
1985007,São Benedito do Sul,2020-06-01,2.0,0,0,0,0.0,0.0,0.0,0.0
1985008,São Benedito do Sul,2020-06-02,3.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1985009,São Benedito do Sul,2020-06-03,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1985010,São Benedito do Sul,2020-06-04,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1985011,São Benedito do Sul,2020-06-05,3.0,0,1,1,0.14285714285714285,0.14285714285714285,1.0,1.0
1985012,São Benedito do Sul,2020-06-06,3.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1985013,São Benedito do Sul,2020-06-07,3.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1985014,São Benedito do Sul,2020-06-08,3.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1985015,São Benedito do Sul,2020-06-09,3.0,0,1,0,0.0,0.14285714285714285,0.0,1.0
1985016,São Benedito do Sul,2020-06-10,3.0,0,1,0,0.0,0.14285714285714285,0.0,1.0
1985017,São Benedito do Sul,2020-06-11,3.0,0,1,0,0.0,0.14285714285714285,0.0,1.0
1985018,São Benedito do Sul,2020-06-12,4.0,1,1,0,0.14285714285714285,0.0,1.0,0.0
1985019,São Benedito do Sul,2020-06-13,4.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
1985020,São Benedito do Sul,2020-06-14,4.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
1985021,São Benedito do Sul,2020-06-15,4.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
1985022,São Benedito do Sul,2020-06-16,4.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
1985023,São Benedito do Sul,2020-06-17,4.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
1985024,São Benedito do Sul,2020-06-18,4.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
1985025,São Benedito do Sul,2020-06-19,4.0,0,1,0,0.0,0.0,0.0,0.0
1985026,São Benedito do Sul,2020-06-20,5.0,1,1,0,0.14285714285714285,0.0,1.0,0.0
1985027,São Benedito do Sul,2020-06-21,5.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
1985028,São Benedito do Sul,2020-06-22,6.0,1,1,0,0.2857142857142857,0.0,2.0,0.0
1985029,São Benedito do Sul,2020-06-23,6.0,0,1,0,0.2857142857142857,0.0,2.0,0.0
1985030,São Benedito do Sul,2020-06-24,7.0,1,1,0,0.42857142857142855,0.0,3.0,0.0
1985031,São Benedito do Sul,2020-06-25,7.0,0,1,0,0.42857142857142855,0.0,3.0,0.0
1985032,São Benedito do Sul,2020-06-26,7.0,0,1,0,0.42857142857142855,0.0,3.0,0.0
1985033,São Benedito do Sul,2020-06-27,10.0,3,1,0,0.7142857142857143,0.0,5.0,0.0
1985034,São Benedito do Sul,2020-06-28,10.0,0,1,0,0.7142857142857143,0.0,5.0,0.0
1985035,São Benedito do Sul,2020-06-29,10.0,0,1,0,0.5714285714285714,0.0,4.0,0.0
1985036,São Benedito do Sul,2020-06-30,10.0,0,1,0,0.5714285714285714,0.0,4.0,0.0
1985037,São Benedito do Sul,2020-07-01,10.0,0,1,0,0.42857142857142855,0.0,3.0,0.0
1985038,São Benedito do Sul,2020-07-02,12.0,2,1,0,0.7142857142857143,0.0,5.0,0.0
1985039,São Benedito do Sul,2020-07-03,12.0,0,1,0,0.7142857142857143,0.0,5.0,0.0
1985040,São Benedito do Sul,2020-07-04,12.0,0,1,0,0.2857142857142857,0.0,2.0,0.0
1985041,São Benedito do Sul,2020-07-05,14.0,2,1,0,0.5714285714285714,0.0,4.0,0.0
1985042,São Benedito do Sul,2020-07-06,14.0,0,1,0,0.5714285714285714,0.0,4.0,0.0
1985043,São Benedito do Sul,2020-07-07,14.0,0,1,0,0.5714285714285714,0.0,4.0,0.0
1985044,São Benedito do Sul,2020-07-08,14.0,0,1,0,0.5714285714285714,0.0,4.0,0.0
1985045,São Benedito do Sul,2020-07-09,15.0,1,1,0,0.42857142857142855,0.0,3.0,0.0
1985046,São Benedito do Sul,2020-07-10,15.0,0,1,0,0.42857142857142855,0.0,3.0,0.0
1985047,São Benedito do Sul,2020-07-11,16.0,1,1,0,0.5714285714285714,0.0,4.0,0.0
1985048,São Benedito do Sul,2020-07-12,21.0,5,1,0,1.0,0.0,7.0,0.0
1985049,São Benedito do Sul,2020-07-13,21.0,0,1,0,1.0,0.0,7.0,0.0
1985050,São Benedito do Sul,2020-07-14,22.0,1,1,0,1.1428571428571428,0.0,8.0,0.0
1985051,São Benedito do Sul,2020-07-15,22.0,0,1,0,1.1428571428571428,0.0,8.0,0.0
1985052,São Benedito do Sul,2020-07-16,22.0,0,1,0,1.0,0.0,7.0,0.0
1985053,São Benedito do Sul,2020-07-17,23.0,1,1,0,1.1428571428571428,0.0,8.0,0.0
1985054,São Benedito do Sul,2020-07-18,29.0,6,1,0,1.8571428571428572,0.0,13.0,0.0
1985055,São Benedito do Sul,2020-07-19,31.0,2,2,1,1.4285714285714286,0.14285714285714285,10.0,1.0
1985056,São Benedito do Sul,2020-07-20,31.0,0,2,0,1.4285714285714286,0.14285714285714285,10.0,1.0
1985057,São Benedito do Sul,2020-07-21,32.0,1,2,0,1.4285714285714286,0.14285714285714285,10.0,1.0
1985058,São Benedito do Sul,2020-07-22,37.0,5,2,0,2.142857142857143,0.14285714285714285,15.0,1.0
1985059,São Benedito do Sul,2020-07-23,37.0,0,2,0,2.142857142857143,0.14285714285714285,15.0,1.0
1985060,São Benedito do Sul,2020-07-24,39.0,2,2,0,2.2857142857142856,0.14285714285714285,16.0,1.0
1985061,São Benedito do Sul,2020-07-25,45.0,6,2,0,2.2857142857142856,0.14285714285714285,16.0,1.0
1985062,São Benedito do Sul,2020-07-26,52.0,7,2,0,3.0,0.0,21.0,0.0
1985063,São Benedito do Sul,2020-07-27,53.0,1,2,0,3.142857142857143,0.0,22.0,0.0
1985064,São Benedito do Sul,2020-07-28,53.0,0,2,0,3.0,0.0,21.0,0.0
1985065,São Benedito do Sul,2020-07-29,53.0,0,2,0,2.2857142857142856,0.0,16.0,0.0
1985066,São Benedito do Sul,2020-07-30,55.0,2,2,0,2.5714285714285716,0.0,18.0,0.0
1985067,São Benedito do Sul,2020-07-31,62.0,7,2,0,3.2857142857142856,0.0,23.0,0.0
1985068,São Benedito do Sul,2020-08-01,63.0,1,3,1,2.5714285714285716,0.14285714285714285,18.0,1.0
1985069,São Benedito do Sul,2020-08-02,63.0,0,3,0,1.5714285714285714,0.14285714285714285,11.0,1.0
1985070,São Benedito do Sul,2020-08-03,63.0,0,3,0,1.4285714285714286,0.14285714285714285,10.0,1.0
1985071,São Benedito do Sul,2020-08-04,64.0,1,3,0,1.5714285714285714,0.14285714285714285,11.0,1.0
1985072,São Benedito do Sul,2020-08-05,77.0,13,3,0,3.4285714285714284,0.14285714285714285,24.0,1.0
1985073,São Benedito do Sul,2020-08-06,81.0,4,3,0,3.7142857142857144,0.14285714285714285,26.0,1.0
1985074,São Benedito do Sul,2020-08-07,81.0,0,3,0,2.7142857142857144,0.14285714285714285,19.0,1.0
1985075,São Benedito do Sul,2020-08-08,84.0,3,3,0,3.0,0.0,21.0,0.0
1985076,São Benedito do Sul,2020-08-09,84.0,0,3,0,3.0,0.0,21.0,0.0
1985077,São Benedito do Sul,2020-08-10,84.0,0,3,0,3.0,0.0,21.0,0.0
1985078,São Benedito do Sul,2020-08-11,84.0,0,3,0,2.857142857142857,0.0,20.0,0.0
1985079,São Benedito do Sul,2020-08-12,91.0,7,3,0,2.0,0.0,14.0,0.0
1985080,São Benedito do Sul,2020-08-13,91.0,0,4,1,1.4285714285714286,0.14285714285714285,10.0,1.0
1985081,São Benedito do Sul,2020-08-14,93.0,2,4,0,1.7142857142857142,0.14285714285714285,12.0,1.0
1985082,São Benedito do Sul,2020-08-15,96.0,3,4,0,1.7142857142857142,0.14285714285714285,12.0,1.0
1985083,São Benedito do Sul,2020-08-16,99.0,3,5,1,2.142857142857143,0.2857142857142857,15.0,2.0
1985084,São Benedito do Sul,2020-08-17,99.0,0,5,0,2.142857142857143,0.2857142857142857,15.0,2.0
1985085,São Benedito do Sul,2020-08-18,99.0,0,5,0,2.142857142857143,0.2857142857142857,15.0,2.0
1985086,São Benedito do Sul,2020-08-19,99.0,0,5,0,1.1428571428571428,0.2857142857142857,8.0,2.0
1985087,São Benedito do Sul,2020-08-20,102.0,3,5,0,1.5714285714285714,0.14285714285714285,11.0,1.0
1985088,São Benedito do Sul,2020-08-21,102.0,0,5,0,1.2857142857142858,0.14285714285714285,9.0,1.0
1985089,São Benedito do Sul,2020-08-22,102.0,0,7,2,0.8571428571428571,0.42857142857142855,6.0,3.0
1985090,São Benedito do Sul,2020-08-23,103.0,1,7,0,0.5714285714285714,0.2857142857142857,4.0,2.0
1985091,São Benedito do Sul,2020-08-24,103.0,0,7,0,0.5714285714285714,0.2857142857142857,4.0,2.0
1985092,São Benedito do Sul,2020-08-25,103.0,0,7,0,0.5714285714285714,0.2857142857142857,4.0,2.0
1985093,São Benedito do Sul,2020-08-26,104.0,1,7,0,0.7142857142857143,0.2857142857142857,5.0,2.0
1985094,São Benedito do Sul,2020-08-27,105.0,1,7,0,0.42857142857142855,0.2857142857142857,3.0,2.0
1985095,São Benedito do Sul,2020-08-28,105.0,0,7,0,0.42857142857142855,0.2857142857142857,3.0,2.0
1985096,São Benedito do Sul,2020-08-29,105.0,0,7,0,0.42857142857142855,0.0,3.0,0.0
1985097,São Benedito do Sul,2020-08-30,124.0,19,7,0,3.0,0.0,21.0,0.0
1985098,São Benedito do Sul,2020-08-31,124.0,0,7,0,3.0,0.0,21.0,0.0
1985099,São Benedito do Sul,2020-09-01,132.0,8,7,0,4.142857142857143,0.0,29.0,0.0
1985100,São Benedito do Sul,2020-09-02,132.0,0,7,0,4.0,0.0,28.0,0.0
1985101,São Benedito do Sul,2020-09-03,134.0,2,7,0,4.142857142857143,0.0,29.0,0.0
1985102,São Benedito do Sul,2020-09-04,134.0,0,7,0,4.142857142857143,0.0,29.0,0.0
1985103,São Benedito do Sul,2020-09-05,134.0,0,7,0,4.142857142857143,0.0,29.0,0.0
1985104,São Benedito do Sul,2020-09-06,134.0,0,7,0,1.4285714285714286,0.0,10.0,0.0
1985105,São Benedito do Sul,2020-09-07,134.0,0,7,0,1.4285714285714286,0.0,10.0,0.0
1985106,São Benedito do Sul,2020-09-08,134.0,0,7,0,0.2857142857142857,0.0,2.0,0.0
1985107,São Benedito do Sul,2020-09-09,136.0,2,7,0,0.5714285714285714,0.0,4.0,0.0
1985108,São Benedito do Sul,2020-09-10,136.0,0,7,0,0.2857142857142857,0.0,2.0,0.0
1985109,São Benedito do Sul,2020-09-11,137.0,1,7,0,0.42857142857142855,0.0,3.0,0.0
1985110,São Benedito do Sul,2020-09-12,137.0,0,7,0,0.42857142857142855,0.0,3.0,0.0
1985111,São Benedito do Sul,2020-09-13,137.0,0,7,0,0.42857142857142855,0.0,3.0,0.0
1985112,São Benedito do Sul,2020-09-14,137.0,0,7,0,0.42857142857142855,0.0,3.0,0.0
