index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1863828,São Bentinho,2020-03-27,0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1863829,São Bentinho,2020-03-28,0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1863830,São Bentinho,2020-03-29,0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1863831,São Bentinho,2020-03-30,0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1863832,São Bentinho,2020-03-31,0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1863833,São Bentinho,2020-04-01,0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1863834,São Bentinho,2020-04-02,0,0,0,0,0.0,0.0,0.0,0.0
1863835,São Bentinho,2020-04-03,0,0,0,0,0.0,0.0,0.0,0.0
1863836,São Bentinho,2020-04-04,0,0,0,0,0.0,0.0,0.0,0.0
1863837,São Bentinho,2020-04-05,0,0,0,0,0.0,0.0,0.0,0.0
1863838,São Bentinho,2020-04-06,0,0,0,0,0.0,0.0,0.0,0.0
1863839,São Bentinho,2020-04-07,0,0,0,0,0.0,0.0,0.0,0.0
1863840,São Bentinho,2020-04-08,0,0,0,0,0.0,0.0,0.0,0.0
1863841,São Bentinho,2020-04-09,0,0,0,0,0.0,0.0,0.0,0.0
1863842,São Bentinho,2020-04-10,0,0,0,0,0.0,0.0,0.0,0.0
1863843,São Bentinho,2020-04-11,0,0,0,0,0.0,0.0,0.0,0.0
1863844,São Bentinho,2020-04-12,0,0,0,0,0.0,0.0,0.0,0.0
1863845,São Bentinho,2020-04-13,0,0,0,0,0.0,0.0,0.0,0.0
1863846,São Bentinho,2020-04-14,0,0,0,0,0.0,0.0,0.0,0.0
1863847,São Bentinho,2020-04-15,0,0,0,0,0.0,0.0,0.0,0.0
1863848,São Bentinho,2020-04-16,0,0,0,0,0.0,0.0,0.0,0.0
1863849,São Bentinho,2020-04-17,0,0,0,0,0.0,0.0,0.0,0.0
1863850,São Bentinho,2020-04-18,0,0,0,0,0.0,0.0,0.0,0.0
1863851,São Bentinho,2020-04-19,0,0,0,0,0.0,0.0,0.0,0.0
1863852,São Bentinho,2020-04-20,0,0,0,0,0.0,0.0,0.0,0.0
1863853,São Bentinho,2020-04-21,0,0,0,0,0.0,0.0,0.0,0.0
1863854,São Bentinho,2020-04-22,0,0,0,0,0.0,0.0,0.0,0.0
1863855,São Bentinho,2020-04-23,0,0,0,0,0.0,0.0,0.0,0.0
