index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1901236,São Braz do Piauí,2020-03-27,0.0,0,0,0,27.0,1.2857142857142858,189.0,9.0
1901237,São Braz do Piauí,2020-03-28,0.0,0,0,0,26.428571428571427,1.2857142857142858,185.0,9.0
1901238,São Braz do Piauí,2020-03-29,0.0,0,0,0,26.285714285714285,1.2857142857142858,184.0,9.0
1901239,São Braz do Piauí,2020-03-30,0.0,0,0,0,25.142857142857142,0.42857142857142855,176.0,3.0
1901240,São Braz do Piauí,2020-03-31,0.0,0,0,0,14.857142857142858,0.0,104.0,0.0
1901241,São Braz do Piauí,2020-04-01,0.0,0,0,0,7.285714285714286,0.0,51.0,0.0
1901242,São Braz do Piauí,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1901243,São Braz do Piauí,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1901244,São Braz do Piauí,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1901245,São Braz do Piauí,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1901246,São Braz do Piauí,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1901247,São Braz do Piauí,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1901248,São Braz do Piauí,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1901249,São Braz do Piauí,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1901250,São Braz do Piauí,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1901251,São Braz do Piauí,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1901252,São Braz do Piauí,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1901253,São Braz do Piauí,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1901254,São Braz do Piauí,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1901255,São Braz do Piauí,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1901256,São Braz do Piauí,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1901257,São Braz do Piauí,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1901258,São Braz do Piauí,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1901259,São Braz do Piauí,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1901260,São Braz do Piauí,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1901261,São Braz do Piauí,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1901262,São Braz do Piauí,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1901263,São Braz do Piauí,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1901264,São Braz do Piauí,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1901265,São Braz do Piauí,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1901266,São Braz do Piauí,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1901267,São Braz do Piauí,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1901268,São Braz do Piauí,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1901269,São Braz do Piauí,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1901270,São Braz do Piauí,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1901271,São Braz do Piauí,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1901272,São Braz do Piauí,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1901273,São Braz do Piauí,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1901274,São Braz do Piauí,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1901275,São Braz do Piauí,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1901276,São Braz do Piauí,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1901277,São Braz do Piauí,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1901278,São Braz do Piauí,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1901279,São Braz do Piauí,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1901280,São Braz do Piauí,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1901281,São Braz do Piauí,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1901282,São Braz do Piauí,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1901283,São Braz do Piauí,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1901284,São Braz do Piauí,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1901285,São Braz do Piauí,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1901286,São Braz do Piauí,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1901287,São Braz do Piauí,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1901288,São Braz do Piauí,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1901289,São Braz do Piauí,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
