index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1898908,São Domingos do Cariri,2020-03-27,0.0,0,0,0,4.142857142857143,0.0,29.0,0.0
1898909,São Domingos do Cariri,2020-03-28,0.0,0,0,0,2.5714285714285716,0.0,18.0,0.0
1898910,São Domingos do Cariri,2020-03-29,0.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
1898911,São Domingos do Cariri,2020-03-30,0.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
1898912,São Domingos do Cariri,2020-03-31,0.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
1898913,São Domingos do Cariri,2020-04-01,0.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
1898914,São Domingos do Cariri,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1898915,São Domingos do Cariri,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1898916,São Domingos do Cariri,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1898917,São Domingos do Cariri,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1898918,São Domingos do Cariri,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1898919,São Domingos do Cariri,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1898920,São Domingos do Cariri,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1898921,São Domingos do Cariri,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1898922,São Domingos do Cariri,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1898923,São Domingos do Cariri,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1898924,São Domingos do Cariri,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1898925,São Domingos do Cariri,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1898926,São Domingos do Cariri,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1898927,São Domingos do Cariri,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1898928,São Domingos do Cariri,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1898929,São Domingos do Cariri,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1898930,São Domingos do Cariri,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1898931,São Domingos do Cariri,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1898932,São Domingos do Cariri,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1898933,São Domingos do Cariri,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1898934,São Domingos do Cariri,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1898935,São Domingos do Cariri,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1898936,São Domingos do Cariri,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1898937,São Domingos do Cariri,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1898938,São Domingos do Cariri,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1898939,São Domingos do Cariri,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1898940,São Domingos do Cariri,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1898941,São Domingos do Cariri,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1898942,São Domingos do Cariri,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1898943,São Domingos do Cariri,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1898944,São Domingos do Cariri,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1898945,São Domingos do Cariri,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1898946,São Domingos do Cariri,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1898947,São Domingos do Cariri,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1898948,São Domingos do Cariri,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1898949,São Domingos do Cariri,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1898950,São Domingos do Cariri,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1898951,São Domingos do Cariri,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1898952,São Domingos do Cariri,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1898953,São Domingos do Cariri,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1898954,São Domingos do Cariri,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1898955,São Domingos do Cariri,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1898956,São Domingos do Cariri,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1898957,São Domingos do Cariri,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1898958,São Domingos do Cariri,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1898959,São Domingos do Cariri,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1898960,São Domingos do Cariri,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1898961,São Domingos do Cariri,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1898962,São Domingos do Cariri,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1898963,São Domingos do Cariri,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1898964,São Domingos do Cariri,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1898965,São Domingos do Cariri,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1898966,São Domingos do Cariri,2020-05-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1898967,São Domingos do Cariri,2020-05-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1898968,São Domingos do Cariri,2020-05-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1898969,São Domingos do Cariri,2020-05-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1898970,São Domingos do Cariri,2020-05-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1898971,São Domingos do Cariri,2020-05-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1898972,São Domingos do Cariri,2020-05-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1898973,São Domingos do Cariri,2020-05-31,0.0,0,0,0,0.0,0.0,0.0,0.0
1898974,São Domingos do Cariri,2020-06-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1898975,São Domingos do Cariri,2020-06-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1898976,São Domingos do Cariri,2020-06-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1898977,São Domingos do Cariri,2020-06-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1898978,São Domingos do Cariri,2020-06-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1898979,São Domingos do Cariri,2020-06-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1898980,São Domingos do Cariri,2020-06-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1898981,São Domingos do Cariri,2020-06-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1898982,São Domingos do Cariri,2020-06-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1898983,São Domingos do Cariri,2020-06-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1898984,São Domingos do Cariri,2020-06-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1898985,São Domingos do Cariri,2020-06-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1898986,São Domingos do Cariri,2020-06-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1898987,São Domingos do Cariri,2020-06-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1898988,São Domingos do Cariri,2020-06-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1898989,São Domingos do Cariri,2020-06-16,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1898990,São Domingos do Cariri,2020-06-17,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1898991,São Domingos do Cariri,2020-06-18,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1898992,São Domingos do Cariri,2020-06-19,2.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
1898993,São Domingos do Cariri,2020-06-20,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1898994,São Domingos do Cariri,2020-06-21,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1898995,São Domingos do Cariri,2020-06-22,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1898996,São Domingos do Cariri,2020-06-23,3.0,1,1,1,0.2857142857142857,0.14285714285714285,2.0,1.0
1898997,São Domingos do Cariri,2020-06-24,3.0,0,1,0,0.2857142857142857,0.14285714285714285,2.0,1.0
1898998,São Domingos do Cariri,2020-06-25,5.0,2,1,0,0.5714285714285714,0.14285714285714285,4.0,1.0
1898999,São Domingos do Cariri,2020-06-26,6.0,1,1,0,0.5714285714285714,0.14285714285714285,4.0,1.0
1899000,São Domingos do Cariri,2020-06-27,6.0,0,1,0,0.5714285714285714,0.14285714285714285,4.0,1.0
1899001,São Domingos do Cariri,2020-06-28,6.0,0,1,0,0.5714285714285714,0.14285714285714285,4.0,1.0
1899002,São Domingos do Cariri,2020-06-29,7.0,1,1,0,0.7142857142857143,0.14285714285714285,5.0,1.0
1899003,São Domingos do Cariri,2020-06-30,8.0,1,1,0,0.7142857142857143,0.0,5.0,0.0
1899004,São Domingos do Cariri,2020-07-01,8.0,0,1,0,0.7142857142857143,0.0,5.0,0.0
1899005,São Domingos do Cariri,2020-07-02,14.0,6,1,0,1.2857142857142858,0.0,9.0,0.0
1899006,São Domingos do Cariri,2020-07-03,14.0,0,1,0,1.1428571428571428,0.0,8.0,0.0
1899007,São Domingos do Cariri,2020-07-04,17.0,3,1,0,1.5714285714285714,0.0,11.0,0.0
1899008,São Domingos do Cariri,2020-07-05,17.0,0,1,0,1.5714285714285714,0.0,11.0,0.0
1899009,São Domingos do Cariri,2020-07-06,18.0,1,1,0,1.5714285714285714,0.0,11.0,0.0
1899010,São Domingos do Cariri,2020-07-07,21.0,3,1,0,1.8571428571428572,0.0,13.0,0.0
1899011,São Domingos do Cariri,2020-07-08,22.0,1,1,0,2.0,0.0,14.0,0.0
1899012,São Domingos do Cariri,2020-07-09,26.0,4,1,0,1.7142857142857142,0.0,12.0,0.0
1899013,São Domingos do Cariri,2020-07-10,28.0,2,1,0,2.0,0.0,14.0,0.0
1899014,São Domingos do Cariri,2020-07-11,29.0,1,1,0,1.7142857142857142,0.0,12.0,0.0
1899015,São Domingos do Cariri,2020-07-12,29.0,0,1,0,1.7142857142857142,0.0,12.0,0.0
1899016,São Domingos do Cariri,2020-07-13,29.0,0,1,0,1.5714285714285714,0.0,11.0,0.0
1899017,São Domingos do Cariri,2020-07-14,31.0,2,1,0,1.4285714285714286,0.0,10.0,0.0
1899018,São Domingos do Cariri,2020-07-15,31.0,0,1,0,1.2857142857142858,0.0,9.0,0.0
1899019,São Domingos do Cariri,2020-07-16,33.0,2,1,0,1.0,0.0,7.0,0.0
1899020,São Domingos do Cariri,2020-07-17,33.0,0,1,0,0.7142857142857143,0.0,5.0,0.0
1899021,São Domingos do Cariri,2020-07-18,33.0,0,1,0,0.5714285714285714,0.0,4.0,0.0
1899022,São Domingos do Cariri,2020-07-19,37.0,4,1,0,1.1428571428571428,0.0,8.0,0.0
1899023,São Domingos do Cariri,2020-07-20,37.0,0,1,0,1.1428571428571428,0.0,8.0,0.0
1899024,São Domingos do Cariri,2020-07-21,41.0,4,1,0,1.4285714285714286,0.0,10.0,0.0
1899025,São Domingos do Cariri,2020-07-22,41.0,0,1,0,1.4285714285714286,0.0,10.0,0.0
1899026,São Domingos do Cariri,2020-07-23,41.0,0,1,0,1.1428571428571428,0.0,8.0,0.0
1899027,São Domingos do Cariri,2020-07-24,41.0,0,1,0,1.1428571428571428,0.0,8.0,0.0
1899028,São Domingos do Cariri,2020-07-25,43.0,2,1,0,1.4285714285714286,0.0,10.0,0.0
1899029,São Domingos do Cariri,2020-07-26,43.0,0,1,0,0.8571428571428571,0.0,6.0,0.0
1899030,São Domingos do Cariri,2020-07-27,43.0,0,1,0,0.8571428571428571,0.0,6.0,0.0
1899031,São Domingos do Cariri,2020-07-28,43.0,0,1,0,0.2857142857142857,0.0,2.0,0.0
1899032,São Domingos do Cariri,2020-07-29,43.0,0,1,0,0.2857142857142857,0.0,2.0,0.0
1899033,São Domingos do Cariri,2020-07-30,43.0,0,1,0,0.2857142857142857,0.0,2.0,0.0
1899034,São Domingos do Cariri,2020-07-31,43.0,0,1,0,0.2857142857142857,0.0,2.0,0.0
1899035,São Domingos do Cariri,2020-08-01,43.0,0,1,0,0.0,0.0,0.0,0.0
1899036,São Domingos do Cariri,2020-08-02,43.0,0,1,0,0.0,0.0,0.0,0.0
1899037,São Domingos do Cariri,2020-08-03,43.0,0,1,0,0.0,0.0,0.0,0.0
1899038,São Domingos do Cariri,2020-08-04,45.0,2,2,1,0.2857142857142857,0.14285714285714285,2.0,1.0
1899039,São Domingos do Cariri,2020-08-05,45.0,0,2,0,0.2857142857142857,0.14285714285714285,2.0,1.0
1899040,São Domingos do Cariri,2020-08-06,45.0,0,2,0,0.2857142857142857,0.14285714285714285,2.0,1.0
1899041,São Domingos do Cariri,2020-08-07,45.0,0,2,0,0.2857142857142857,0.14285714285714285,2.0,1.0
1899042,São Domingos do Cariri,2020-08-08,45.0,0,2,0,0.2857142857142857,0.14285714285714285,2.0,1.0
1899043,São Domingos do Cariri,2020-08-09,45.0,0,2,0,0.2857142857142857,0.14285714285714285,2.0,1.0
1899044,São Domingos do Cariri,2020-08-10,45.0,0,3,1,0.2857142857142857,0.2857142857142857,2.0,2.0
1899045,São Domingos do Cariri,2020-08-11,47.0,2,3,0,0.2857142857142857,0.14285714285714285,2.0,1.0
1899046,São Domingos do Cariri,2020-08-12,47.0,0,3,0,0.2857142857142857,0.14285714285714285,2.0,1.0
1899047,São Domingos do Cariri,2020-08-13,48.0,1,3,0,0.42857142857142855,0.14285714285714285,3.0,1.0
1899048,São Domingos do Cariri,2020-08-14,48.0,0,3,0,0.42857142857142855,0.14285714285714285,3.0,1.0
1899049,São Domingos do Cariri,2020-08-15,48.0,0,3,0,0.42857142857142855,0.14285714285714285,3.0,1.0
1899050,São Domingos do Cariri,2020-08-16,48.0,0,3,0,0.42857142857142855,0.14285714285714285,3.0,1.0
1899051,São Domingos do Cariri,2020-08-17,48.0,0,3,0,0.42857142857142855,0.0,3.0,0.0
1899052,São Domingos do Cariri,2020-08-18,48.0,0,3,0,0.14285714285714285,0.0,1.0,0.0
1899053,São Domingos do Cariri,2020-08-19,45.0,-3,3,0,-0.2857142857142857,0.0,-2.0,0.0
1899054,São Domingos do Cariri,2020-08-20,53.0,8,3,0,0.7142857142857143,0.0,5.0,0.0
1899055,São Domingos do Cariri,2020-08-21,53.0,0,3,0,0.7142857142857143,0.0,5.0,0.0
1899056,São Domingos do Cariri,2020-08-22,53.0,0,3,0,0.7142857142857143,0.0,5.0,0.0
1899057,São Domingos do Cariri,2020-08-23,53.0,0,3,0,0.7142857142857143,0.0,5.0,0.0
