index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
2005796,São Felipe D'Oeste,2020-03-27,0.0,0,0,0,5.571428571428571,0.0,39.0,0.0
2005797,São Felipe D'Oeste,2020-03-28,0.0,0,0,0,5.0,0.0,35.0,0.0
2005798,São Felipe D'Oeste,2020-03-29,0.0,0,0,0,5.0,0.0,35.0,0.0
2005799,São Felipe D'Oeste,2020-03-30,0.0,0,0,0,4.571428571428571,0.0,32.0,0.0
2005800,São Felipe D'Oeste,2020-03-31,0.0,0,0,0,2.142857142857143,0.0,15.0,0.0
2005801,São Felipe D'Oeste,2020-04-01,0.0,0,0,0,1.0,0.0,7.0,0.0
2005802,São Felipe D'Oeste,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2005803,São Felipe D'Oeste,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2005804,São Felipe D'Oeste,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2005805,São Felipe D'Oeste,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2005806,São Felipe D'Oeste,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2005807,São Felipe D'Oeste,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2005808,São Felipe D'Oeste,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
2005809,São Felipe D'Oeste,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
2005810,São Felipe D'Oeste,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
2005811,São Felipe D'Oeste,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
2005812,São Felipe D'Oeste,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
2005813,São Felipe D'Oeste,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
2005814,São Felipe D'Oeste,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
2005815,São Felipe D'Oeste,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
2005816,São Felipe D'Oeste,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
2005817,São Felipe D'Oeste,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
2005818,São Felipe D'Oeste,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
2005819,São Felipe D'Oeste,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
2005820,São Felipe D'Oeste,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
2005821,São Felipe D'Oeste,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
2005822,São Felipe D'Oeste,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
2005823,São Felipe D'Oeste,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
2005824,São Felipe D'Oeste,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
2005825,São Felipe D'Oeste,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
2005826,São Felipe D'Oeste,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
2005827,São Felipe D'Oeste,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
2005828,São Felipe D'Oeste,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
2005829,São Felipe D'Oeste,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
2005830,São Felipe D'Oeste,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
2005831,São Felipe D'Oeste,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
2005832,São Felipe D'Oeste,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2005833,São Felipe D'Oeste,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2005834,São Felipe D'Oeste,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2005835,São Felipe D'Oeste,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2005836,São Felipe D'Oeste,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2005837,São Felipe D'Oeste,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2005838,São Felipe D'Oeste,2020-05-08,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
2005839,São Felipe D'Oeste,2020-05-09,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2005840,São Felipe D'Oeste,2020-05-10,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2005841,São Felipe D'Oeste,2020-05-11,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2005842,São Felipe D'Oeste,2020-05-12,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2005843,São Felipe D'Oeste,2020-05-13,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2005844,São Felipe D'Oeste,2020-05-14,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2005845,São Felipe D'Oeste,2020-05-15,1.0,0,0,0,0.0,0.0,0.0,0.0
2005846,São Felipe D'Oeste,2020-05-16,1.0,0,0,0,0.0,0.0,0.0,0.0
2005847,São Felipe D'Oeste,2020-05-17,1.0,0,0,0,0.0,0.0,0.0,0.0
2005848,São Felipe D'Oeste,2020-05-18,1.0,0,0,0,0.0,0.0,0.0,0.0
2005849,São Felipe D'Oeste,2020-05-19,1.0,0,0,0,0.0,0.0,0.0,0.0
2005850,São Felipe D'Oeste,2020-05-20,1.0,0,0,0,0.0,0.0,0.0,0.0
2005851,São Felipe D'Oeste,2020-05-21,1.0,0,0,0,0.0,0.0,0.0,0.0
2005852,São Felipe D'Oeste,2020-05-22,1.0,0,0,0,0.0,0.0,0.0,0.0
2005853,São Felipe D'Oeste,2020-05-23,1.0,0,0,0,0.0,0.0,0.0,0.0
2005854,São Felipe D'Oeste,2020-05-24,1.0,0,0,0,0.0,0.0,0.0,0.0
2005855,São Felipe D'Oeste,2020-05-25,1.0,0,0,0,0.0,0.0,0.0,0.0
2005856,São Felipe D'Oeste,2020-05-26,1.0,0,0,0,0.0,0.0,0.0,0.0
2005857,São Felipe D'Oeste,2020-05-27,1.0,0,0,0,0.0,0.0,0.0,0.0
2005858,São Felipe D'Oeste,2020-05-28,1.0,0,0,0,0.0,0.0,0.0,0.0
2005859,São Felipe D'Oeste,2020-05-29,1.0,0,0,0,0.0,0.0,0.0,0.0
2005860,São Felipe D'Oeste,2020-05-30,1.0,0,0,0,0.0,0.0,0.0,0.0
2005861,São Felipe D'Oeste,2020-05-31,1.0,0,0,0,0.0,0.0,0.0,0.0
2005862,São Felipe D'Oeste,2020-06-01,1.0,0,0,0,0.0,0.0,0.0,0.0
2005863,São Felipe D'Oeste,2020-06-02,1.0,0,0,0,0.0,0.0,0.0,0.0
2005864,São Felipe D'Oeste,2020-06-03,1.0,0,0,0,0.0,0.0,0.0,0.0
2005865,São Felipe D'Oeste,2020-06-04,1.0,0,0,0,0.0,0.0,0.0,0.0
2005866,São Felipe D'Oeste,2020-06-05,1.0,0,0,0,0.0,0.0,0.0,0.0
2005867,São Felipe D'Oeste,2020-06-06,1.0,0,0,0,0.0,0.0,0.0,0.0
2005868,São Felipe D'Oeste,2020-06-07,1.0,0,0,0,0.0,0.0,0.0,0.0
2005869,São Felipe D'Oeste,2020-06-08,1.0,0,0,0,0.0,0.0,0.0,0.0
2005870,São Felipe D'Oeste,2020-06-09,1.0,0,0,0,0.0,0.0,0.0,0.0
2005871,São Felipe D'Oeste,2020-06-10,1.0,0,0,0,0.0,0.0,0.0,0.0
2005872,São Felipe D'Oeste,2020-06-11,1.0,0,0,0,0.0,0.0,0.0,0.0
2005873,São Felipe D'Oeste,2020-06-12,1.0,0,0,0,0.0,0.0,0.0,0.0
