index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
2036085,São Francisco do Piauí,2020-03-27,0.0,0,0,0,1.4285714285714286,0.2857142857142857,10.0,2.0
2036086,São Francisco do Piauí,2020-03-28,0.0,0,0,0,1.0,0.0,7.0,0.0
2036087,São Francisco do Piauí,2020-03-29,0.0,0,0,0,1.0,0.0,7.0,0.0
2036088,São Francisco do Piauí,2020-03-30,0.0,0,0,0,1.0,0.0,7.0,0.0
2036089,São Francisco do Piauí,2020-03-31,0.0,0,0,0,1.0,0.0,7.0,0.0
2036090,São Francisco do Piauí,2020-04-01,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2036091,São Francisco do Piauí,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2036092,São Francisco do Piauí,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2036093,São Francisco do Piauí,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2036094,São Francisco do Piauí,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2036095,São Francisco do Piauí,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2036096,São Francisco do Piauí,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2036097,São Francisco do Piauí,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
2036098,São Francisco do Piauí,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
2036099,São Francisco do Piauí,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
2036100,São Francisco do Piauí,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
2036101,São Francisco do Piauí,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
2036102,São Francisco do Piauí,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
2036103,São Francisco do Piauí,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
2036104,São Francisco do Piauí,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
2036105,São Francisco do Piauí,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
2036106,São Francisco do Piauí,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
2036107,São Francisco do Piauí,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
2036108,São Francisco do Piauí,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
2036109,São Francisco do Piauí,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
2036110,São Francisco do Piauí,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
2036111,São Francisco do Piauí,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
2036112,São Francisco do Piauí,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
2036113,São Francisco do Piauí,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
2036114,São Francisco do Piauí,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
2036115,São Francisco do Piauí,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
2036116,São Francisco do Piauí,2020-04-27,1.0,1,1,1,0.14285714285714285,0.14285714285714285,1.0,1.0
2036117,São Francisco do Piauí,2020-04-28,1.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
2036118,São Francisco do Piauí,2020-04-29,1.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
2036119,São Francisco do Piauí,2020-04-30,1.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
2036120,São Francisco do Piauí,2020-05-01,1.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
2036121,São Francisco do Piauí,2020-05-02,1.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
2036122,São Francisco do Piauí,2020-05-03,1.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
2036123,São Francisco do Piauí,2020-05-04,1.0,0,1,0,0.0,0.0,0.0,0.0
2036124,São Francisco do Piauí,2020-05-05,1.0,0,1,0,0.0,0.0,0.0,0.0
2036125,São Francisco do Piauí,2020-05-06,1.0,0,1,0,0.0,0.0,0.0,0.0
2036126,São Francisco do Piauí,2020-05-07,1.0,0,1,0,0.0,0.0,0.0,0.0
2036127,São Francisco do Piauí,2020-05-08,1.0,0,1,0,0.0,0.0,0.0,0.0
2036128,São Francisco do Piauí,2020-05-09,1.0,0,1,0,0.0,0.0,0.0,0.0
2036129,São Francisco do Piauí,2020-05-10,1.0,0,1,0,0.0,0.0,0.0,0.0
2036130,São Francisco do Piauí,2020-05-11,1.0,0,1,0,0.0,0.0,0.0,0.0
2036131,São Francisco do Piauí,2020-05-12,1.0,0,1,0,0.0,0.0,0.0,0.0
2036132,São Francisco do Piauí,2020-05-13,1.0,0,1,0,0.0,0.0,0.0,0.0
2036133,São Francisco do Piauí,2020-05-14,1.0,0,1,0,0.0,0.0,0.0,0.0
2036134,São Francisco do Piauí,2020-05-15,1.0,0,1,0,0.0,0.0,0.0,0.0
2036135,São Francisco do Piauí,2020-05-16,1.0,0,1,0,0.0,0.0,0.0,0.0
2036136,São Francisco do Piauí,2020-05-17,1.0,0,1,0,0.0,0.0,0.0,0.0
2036137,São Francisco do Piauí,2020-05-18,1.0,0,1,0,0.0,0.0,0.0,0.0
2036138,São Francisco do Piauí,2020-05-19,1.0,0,1,0,0.0,0.0,0.0,0.0
2036139,São Francisco do Piauí,2020-05-20,1.0,0,1,0,0.0,0.0,0.0,0.0
2036140,São Francisco do Piauí,2020-05-21,1.0,0,1,0,0.0,0.0,0.0,0.0
2036141,São Francisco do Piauí,2020-05-22,1.0,0,1,0,0.0,0.0,0.0,0.0
