index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
2017629,São José do Belmonte,2020-03-27,0.0,0,0,0,0.0,0.0,0.0,0.0
2017630,São José do Belmonte,2020-03-28,0.0,0,0,0,0.0,0.0,0.0,0.0
2017631,São José do Belmonte,2020-03-29,0.0,0,0,0,0.0,0.0,0.0,0.0
2017632,São José do Belmonte,2020-03-30,0.0,0,0,0,0.0,0.0,0.0,0.0
2017633,São José do Belmonte,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
2017634,São José do Belmonte,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
2017635,São José do Belmonte,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2017636,São José do Belmonte,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2017637,São José do Belmonte,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2017638,São José do Belmonte,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2017639,São José do Belmonte,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2017640,São José do Belmonte,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2017641,São José do Belmonte,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
2017642,São José do Belmonte,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
2017643,São José do Belmonte,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
2017644,São José do Belmonte,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
2017645,São José do Belmonte,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
2017646,São José do Belmonte,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
2017647,São José do Belmonte,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
2017648,São José do Belmonte,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
2017649,São José do Belmonte,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
2017650,São José do Belmonte,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
2017651,São José do Belmonte,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
2017652,São José do Belmonte,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
2017653,São José do Belmonte,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
