index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1981122,São José do Bonfim,2020-03-27,0.0,0,0,0,14.0,0.14285714285714285,98.0,1.0
1981123,São José do Bonfim,2020-03-28,0.0,0,0,0,14.285714285714286,0.14285714285714285,100.0,1.0
1981124,São José do Bonfim,2020-03-29,0.0,0,0,0,11.428571428571429,0.14285714285714285,80.0,1.0
1981125,São José do Bonfim,2020-03-30,0.0,0,0,0,9.857142857142858,0.14285714285714285,69.0,1.0
1981126,São José do Bonfim,2020-03-31,0.0,0,0,0,8.142857142857142,0.14285714285714285,57.0,1.0
1981127,São José do Bonfim,2020-04-01,0.0,0,0,0,6.142857142857143,0.0,43.0,0.0
1981128,São José do Bonfim,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1981129,São José do Bonfim,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1981130,São José do Bonfim,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1981131,São José do Bonfim,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1981132,São José do Bonfim,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1981133,São José do Bonfim,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1981134,São José do Bonfim,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1981135,São José do Bonfim,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1981136,São José do Bonfim,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1981137,São José do Bonfim,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1981138,São José do Bonfim,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1981139,São José do Bonfim,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1981140,São José do Bonfim,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1981141,São José do Bonfim,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1981142,São José do Bonfim,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1981143,São José do Bonfim,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1981144,São José do Bonfim,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1981145,São José do Bonfim,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1981146,São José do Bonfim,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1981147,São José do Bonfim,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1981148,São José do Bonfim,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1981149,São José do Bonfim,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1981150,São José do Bonfim,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1981151,São José do Bonfim,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1981152,São José do Bonfim,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1981153,São José do Bonfim,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1981154,São José do Bonfim,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1981155,São José do Bonfim,2020-04-29,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1981156,São José do Bonfim,2020-04-30,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1981157,São José do Bonfim,2020-05-01,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1981158,São José do Bonfim,2020-05-02,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1981159,São José do Bonfim,2020-05-03,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1981160,São José do Bonfim,2020-05-04,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1981161,São José do Bonfim,2020-05-05,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1981162,São José do Bonfim,2020-05-06,1.0,0,0,0,0.0,0.0,0.0,0.0
1981163,São José do Bonfim,2020-05-07,1.0,0,0,0,0.0,0.0,0.0,0.0
1981164,São José do Bonfim,2020-05-08,1.0,0,0,0,0.0,0.0,0.0,0.0
1981165,São José do Bonfim,2020-05-09,1.0,0,0,0,0.0,0.0,0.0,0.0
1981166,São José do Bonfim,2020-05-10,1.0,0,0,0,0.0,0.0,0.0,0.0
1981167,São José do Bonfim,2020-05-11,1.0,0,0,0,0.0,0.0,0.0,0.0
1981168,São José do Bonfim,2020-05-12,1.0,0,0,0,0.0,0.0,0.0,0.0
1981169,São José do Bonfim,2020-05-13,2.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1981170,São José do Bonfim,2020-05-14,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1981171,São José do Bonfim,2020-05-15,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1981172,São José do Bonfim,2020-05-16,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1981173,São José do Bonfim,2020-05-17,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1981174,São José do Bonfim,2020-05-18,5.0,3,0,0,0.5714285714285714,0.0,4.0,0.0
1981175,São José do Bonfim,2020-05-19,5.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1981176,São José do Bonfim,2020-05-20,5.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1981177,São José do Bonfim,2020-05-21,5.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1981178,São José do Bonfim,2020-05-22,6.0,1,0,0,0.5714285714285714,0.0,4.0,0.0
1981179,São José do Bonfim,2020-05-23,6.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1981180,São José do Bonfim,2020-05-24,6.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1981181,São José do Bonfim,2020-05-25,7.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
1981182,São José do Bonfim,2020-05-26,10.0,3,0,0,0.7142857142857143,0.0,5.0,0.0
1981183,São José do Bonfim,2020-05-27,10.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
1981184,São José do Bonfim,2020-05-28,10.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
1981185,São José do Bonfim,2020-05-29,10.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1981186,São José do Bonfim,2020-05-30,11.0,1,0,0,0.7142857142857143,0.0,5.0,0.0
1981187,São José do Bonfim,2020-05-31,11.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
1981188,São José do Bonfim,2020-06-01,12.0,1,0,0,0.7142857142857143,0.0,5.0,0.0
1981189,São José do Bonfim,2020-06-02,14.0,2,0,0,0.5714285714285714,0.0,4.0,0.0
1981190,São José do Bonfim,2020-06-03,14.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1981191,São José do Bonfim,2020-06-04,15.0,1,0,0,0.7142857142857143,0.0,5.0,0.0
1981192,São José do Bonfim,2020-06-05,16.0,1,0,0,0.8571428571428571,0.0,6.0,0.0
