index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
2057235,São José do Cerrito,2020-03-27,0.0,0,0,0,14.142857142857142,0.0,99.0,0.0
2057236,São José do Cerrito,2020-03-28,0.0,0,0,0,6.571428571428571,0.0,46.0,0.0
2057237,São José do Cerrito,2020-03-29,0.0,0,0,0,3.7142857142857144,0.0,26.0,0.0
2057238,São José do Cerrito,2020-03-30,0.0,0,0,0,1.7142857142857142,0.0,12.0,0.0
2057239,São José do Cerrito,2020-03-31,0.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
2057240,São José do Cerrito,2020-04-01,0.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
2057241,São José do Cerrito,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2057242,São José do Cerrito,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2057243,São José do Cerrito,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2057244,São José do Cerrito,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2057245,São José do Cerrito,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2057246,São José do Cerrito,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2057247,São José do Cerrito,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
2057248,São José do Cerrito,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
2057249,São José do Cerrito,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
2057250,São José do Cerrito,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
2057251,São José do Cerrito,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
2057252,São José do Cerrito,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
2057253,São José do Cerrito,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
2057254,São José do Cerrito,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
2057255,São José do Cerrito,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
2057256,São José do Cerrito,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
2057257,São José do Cerrito,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
2057258,São José do Cerrito,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
2057259,São José do Cerrito,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
2057260,São José do Cerrito,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
2057261,São José do Cerrito,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
2057262,São José do Cerrito,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
2057263,São José do Cerrito,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
2057264,São José do Cerrito,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
2057265,São José do Cerrito,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
2057266,São José do Cerrito,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
2057267,São José do Cerrito,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
2057268,São José do Cerrito,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
2057269,São José do Cerrito,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
2057270,São José do Cerrito,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
2057271,São José do Cerrito,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2057272,São José do Cerrito,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
