index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
2103915,São João da Mata,2020-03-27,0.0,0,0,0,1.1428571428571428,0.0,8.0,0.0
2103916,São João da Mata,2020-03-28,0.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
2103917,São João da Mata,2020-03-29,0.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
2103918,São João da Mata,2020-03-30,0.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
2103919,São João da Mata,2020-03-31,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
2103920,São João da Mata,2020-04-01,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
2103921,São João da Mata,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2103922,São João da Mata,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2103923,São João da Mata,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2103924,São João da Mata,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2103925,São João da Mata,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2103926,São João da Mata,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2103927,São João da Mata,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
2103928,São João da Mata,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
2103929,São João da Mata,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
2103930,São João da Mata,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
2103931,São João da Mata,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
2103932,São João da Mata,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
2103933,São João da Mata,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
2103934,São João da Mata,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
2103935,São João da Mata,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
2103936,São João da Mata,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
2103937,São João da Mata,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
2103938,São João da Mata,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
2103939,São João da Mata,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
2103940,São João da Mata,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
2103941,São João da Mata,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
2103942,São João da Mata,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
2103943,São João da Mata,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
2103944,São João da Mata,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
2103945,São João da Mata,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
2103946,São João da Mata,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
2103947,São João da Mata,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
2103948,São João da Mata,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
2103949,São João da Mata,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
2103950,São João da Mata,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
2103951,São João da Mata,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2103952,São João da Mata,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2103953,São João da Mata,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2103954,São João da Mata,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2103955,São João da Mata,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2103956,São João da Mata,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2103957,São João da Mata,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
2103958,São João da Mata,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
2103959,São João da Mata,2020-05-10,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
2103960,São João da Mata,2020-05-11,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2103961,São João da Mata,2020-05-12,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2103962,São João da Mata,2020-05-13,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2103963,São João da Mata,2020-05-14,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2103964,São João da Mata,2020-05-15,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2103965,São João da Mata,2020-05-16,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2103966,São João da Mata,2020-05-17,1.0,0,0,0,0.0,0.0,0.0,0.0
2103967,São João da Mata,2020-05-18,1.0,0,0,0,0.0,0.0,0.0,0.0
2103968,São João da Mata,2020-05-19,1.0,0,0,0,0.0,0.0,0.0,0.0
2103969,São João da Mata,2020-05-20,1.0,0,0,0,0.0,0.0,0.0,0.0
2103970,São João da Mata,2020-05-21,1.0,0,0,0,0.0,0.0,0.0,0.0
2103971,São João da Mata,2020-05-22,3.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
2103972,São João da Mata,2020-05-23,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2103973,São João da Mata,2020-05-24,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2103974,São João da Mata,2020-05-25,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2103975,São João da Mata,2020-05-26,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2103976,São João da Mata,2020-05-27,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2103977,São João da Mata,2020-05-28,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2103978,São João da Mata,2020-05-29,3.0,0,0,0,0.0,0.0,0.0,0.0
2103979,São João da Mata,2020-05-30,3.0,0,0,0,0.0,0.0,0.0,0.0
2103980,São João da Mata,2020-05-31,3.0,0,0,0,0.0,0.0,0.0,0.0
2103981,São João da Mata,2020-06-01,3.0,0,0,0,0.0,0.0,0.0,0.0
2103982,São João da Mata,2020-06-02,3.0,0,0,0,0.0,0.0,0.0,0.0
2103983,São João da Mata,2020-06-03,3.0,0,0,0,0.0,0.0,0.0,0.0
2103984,São João da Mata,2020-06-04,3.0,0,0,0,0.0,0.0,0.0,0.0
2103985,São João da Mata,2020-06-05,3.0,0,0,0,0.0,0.0,0.0,0.0
2103986,São João da Mata,2020-06-06,3.0,0,0,0,0.0,0.0,0.0,0.0
2103987,São João da Mata,2020-06-07,3.0,0,0,0,0.0,0.0,0.0,0.0
2103988,São João da Mata,2020-06-08,3.0,0,0,0,0.0,0.0,0.0,0.0
2103989,São João da Mata,2020-06-09,3.0,0,0,0,0.0,0.0,0.0,0.0
2103990,São João da Mata,2020-06-10,3.0,0,0,0,0.0,0.0,0.0,0.0
2103991,São João da Mata,2020-06-11,3.0,0,0,0,0.0,0.0,0.0,0.0
2103992,São João da Mata,2020-06-12,3.0,0,0,0,0.0,0.0,0.0,0.0
2103993,São João da Mata,2020-06-13,3.0,0,0,0,0.0,0.0,0.0,0.0
2103994,São João da Mata,2020-06-14,3.0,0,0,0,0.0,0.0,0.0,0.0
2103995,São João da Mata,2020-06-15,3.0,0,0,0,0.0,0.0,0.0,0.0
2103996,São João da Mata,2020-06-16,3.0,0,0,0,0.0,0.0,0.0,0.0
2103997,São João da Mata,2020-06-17,3.0,0,0,0,0.0,0.0,0.0,0.0
2103998,São João da Mata,2020-06-18,3.0,0,0,0,0.0,0.0,0.0,0.0
2103999,São João da Mata,2020-06-19,3.0,0,0,0,0.0,0.0,0.0,0.0
2104000,São João da Mata,2020-06-20,3.0,0,0,0,0.0,0.0,0.0,0.0
2104001,São João da Mata,2020-06-21,3.0,0,0,0,0.0,0.0,0.0,0.0
2104002,São João da Mata,2020-06-22,3.0,0,0,0,0.0,0.0,0.0,0.0
2104003,São João da Mata,2020-06-23,5.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
2104004,São João da Mata,2020-06-24,5.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2104005,São João da Mata,2020-06-25,5.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2104006,São João da Mata,2020-06-26,5.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2104007,São João da Mata,2020-06-27,5.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2104008,São João da Mata,2020-06-28,5.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2104009,São João da Mata,2020-06-29,5.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2104010,São João da Mata,2020-06-30,5.0,0,0,0,0.0,0.0,0.0,0.0
2104011,São João da Mata,2020-07-01,5.0,0,0,0,0.0,0.0,0.0,0.0
2104012,São João da Mata,2020-07-02,9.0,4,0,0,0.5714285714285714,0.0,4.0,0.0
2104013,São João da Mata,2020-07-03,9.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
2104014,São João da Mata,2020-07-04,9.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
2104015,São João da Mata,2020-07-05,9.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
2104016,São João da Mata,2020-07-06,9.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
2104017,São João da Mata,2020-07-07,9.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
2104018,São João da Mata,2020-07-08,9.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
2104019,São João da Mata,2020-07-09,9.0,0,0,0,0.0,0.0,0.0,0.0
2104020,São João da Mata,2020-07-10,9.0,0,0,0,0.0,0.0,0.0,0.0
2104021,São João da Mata,2020-07-11,9.0,0,0,0,0.0,0.0,0.0,0.0
2104022,São João da Mata,2020-07-12,9.0,0,0,0,0.0,0.0,0.0,0.0
2104023,São João da Mata,2020-07-13,9.0,0,0,0,0.0,0.0,0.0,0.0
