index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
2039479,São João da Ponta,2020-03-27,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2039480,São João da Ponta,2020-03-28,0.0,0,0,0,0.0,0.0,0.0,0.0
2039481,São João da Ponta,2020-03-29,0.0,0,0,0,0.0,0.0,0.0,0.0
2039482,São João da Ponta,2020-03-30,0.0,0,0,0,0.0,0.0,0.0,0.0
2039483,São João da Ponta,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
2039484,São João da Ponta,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
2039485,São João da Ponta,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2039486,São João da Ponta,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2039487,São João da Ponta,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2039488,São João da Ponta,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2039489,São João da Ponta,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2039490,São João da Ponta,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2039491,São João da Ponta,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
2039492,São João da Ponta,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
2039493,São João da Ponta,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
2039494,São João da Ponta,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
2039495,São João da Ponta,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
2039496,São João da Ponta,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
2039497,São João da Ponta,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
2039498,São João da Ponta,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
2039499,São João da Ponta,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
2039500,São João da Ponta,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
2039501,São João da Ponta,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
2039502,São João da Ponta,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
2039503,São João da Ponta,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
2039504,São João da Ponta,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
2039505,São João da Ponta,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
2039506,São João da Ponta,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
2039507,São João da Ponta,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
2039508,São João da Ponta,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
2039509,São João da Ponta,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
2039510,São João da Ponta,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
2039511,São João da Ponta,2020-04-28,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
