index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1952478,São João da Varjota,2020-03-27,0.0,0,0,0,1.5714285714285714,0.0,11.0,0.0
1952479,São João da Varjota,2020-03-28,0.0,0,0,0,1.0,0.0,7.0,0.0
1952480,São João da Varjota,2020-03-29,0.0,0,0,0,1.0,0.0,7.0,0.0
1952481,São João da Varjota,2020-03-30,0.0,0,0,0,1.0,0.0,7.0,0.0
1952482,São João da Varjota,2020-03-31,0.0,0,0,0,1.0,0.0,7.0,0.0
1952483,São João da Varjota,2020-04-01,0.0,0,0,0,1.0,0.0,7.0,0.0
1952484,São João da Varjota,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1952485,São João da Varjota,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1952486,São João da Varjota,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1952487,São João da Varjota,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1952488,São João da Varjota,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1952489,São João da Varjota,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1952490,São João da Varjota,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1952491,São João da Varjota,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1952492,São João da Varjota,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1952493,São João da Varjota,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1952494,São João da Varjota,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1952495,São João da Varjota,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1952496,São João da Varjota,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1952497,São João da Varjota,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1952498,São João da Varjota,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1952499,São João da Varjota,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1952500,São João da Varjota,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1952501,São João da Varjota,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1952502,São João da Varjota,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1952503,São João da Varjota,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1952504,São João da Varjota,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1952505,São João da Varjota,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1952506,São João da Varjota,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1952507,São João da Varjota,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1952508,São João da Varjota,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1952509,São João da Varjota,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1952510,São João da Varjota,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1952511,São João da Varjota,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1952512,São João da Varjota,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1952513,São João da Varjota,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1952514,São João da Varjota,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1952515,São João da Varjota,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1952516,São João da Varjota,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1952517,São João da Varjota,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1952518,São João da Varjota,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1952519,São João da Varjota,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1952520,São João da Varjota,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1952521,São João da Varjota,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1952522,São João da Varjota,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1952523,São João da Varjota,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1952524,São João da Varjota,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1952525,São João da Varjota,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1952526,São João da Varjota,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1952527,São João da Varjota,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1952528,São João da Varjota,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1952529,São João da Varjota,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1952530,São João da Varjota,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1952531,São João da Varjota,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1952532,São João da Varjota,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1952533,São João da Varjota,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1952534,São João da Varjota,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1952535,São João da Varjota,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1952536,São João da Varjota,2020-05-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1952537,São João da Varjota,2020-05-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1952538,São João da Varjota,2020-05-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1952539,São João da Varjota,2020-05-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1952540,São João da Varjota,2020-05-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1952541,São João da Varjota,2020-05-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1952542,São João da Varjota,2020-05-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1952543,São João da Varjota,2020-05-31,0.0,0,0,0,0.0,0.0,0.0,0.0
1952544,São João da Varjota,2020-06-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1952545,São João da Varjota,2020-06-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1952546,São João da Varjota,2020-06-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1952547,São João da Varjota,2020-06-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1952548,São João da Varjota,2020-06-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1952549,São João da Varjota,2020-06-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1952550,São João da Varjota,2020-06-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1952551,São João da Varjota,2020-06-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1952552,São João da Varjota,2020-06-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1952553,São João da Varjota,2020-06-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1952554,São João da Varjota,2020-06-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1952555,São João da Varjota,2020-06-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1952556,São João da Varjota,2020-06-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1952557,São João da Varjota,2020-06-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1952558,São João da Varjota,2020-06-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1952559,São João da Varjota,2020-06-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1952560,São João da Varjota,2020-06-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1952561,São João da Varjota,2020-06-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1952562,São João da Varjota,2020-06-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1952563,São João da Varjota,2020-06-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1952564,São João da Varjota,2020-06-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1952565,São João da Varjota,2020-06-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1952566,São João da Varjota,2020-06-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1952567,São João da Varjota,2020-06-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1952568,São João da Varjota,2020-06-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1952569,São João da Varjota,2020-06-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1952570,São João da Varjota,2020-06-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1952571,São João da Varjota,2020-06-28,1.0,1,1,1,0.14285714285714285,0.14285714285714285,1.0,1.0
1952572,São João da Varjota,2020-06-29,2.0,1,1,0,0.2857142857142857,0.14285714285714285,2.0,1.0
1952573,São João da Varjota,2020-06-30,2.0,0,1,0,0.2857142857142857,0.14285714285714285,2.0,1.0
1952574,São João da Varjota,2020-07-01,3.0,1,1,0,0.42857142857142855,0.14285714285714285,3.0,1.0
1952575,São João da Varjota,2020-07-02,3.0,0,1,0,0.42857142857142855,0.14285714285714285,3.0,1.0
1952576,São João da Varjota,2020-07-03,3.0,0,1,0,0.42857142857142855,0.14285714285714285,3.0,1.0
1952577,São João da Varjota,2020-07-04,3.0,0,1,0,0.42857142857142855,0.14285714285714285,3.0,1.0
1952578,São João da Varjota,2020-07-05,4.0,1,1,0,0.42857142857142855,0.0,3.0,0.0
1952579,São João da Varjota,2020-07-06,4.0,0,2,1,0.2857142857142857,0.14285714285714285,2.0,1.0
1952580,São João da Varjota,2020-07-07,5.0,1,2,0,0.42857142857142855,0.14285714285714285,3.0,1.0
1952581,São João da Varjota,2020-07-08,6.0,1,2,0,0.42857142857142855,0.14285714285714285,3.0,1.0
1952582,São João da Varjota,2020-07-09,6.0,0,2,0,0.42857142857142855,0.14285714285714285,3.0,1.0
1952583,São João da Varjota,2020-07-10,6.0,0,2,0,0.42857142857142855,0.14285714285714285,3.0,1.0
1952584,São João da Varjota,2020-07-11,7.0,1,2,0,0.5714285714285714,0.14285714285714285,4.0,1.0
1952585,São João da Varjota,2020-07-12,7.0,0,2,0,0.42857142857142855,0.14285714285714285,3.0,1.0
1952586,São João da Varjota,2020-07-13,7.0,0,2,0,0.42857142857142855,0.0,3.0,0.0
1952587,São João da Varjota,2020-07-14,10.0,3,2,0,0.7142857142857143,0.0,5.0,0.0
1952588,São João da Varjota,2020-07-15,14.0,4,2,0,1.1428571428571428,0.0,8.0,0.0
1952589,São João da Varjota,2020-07-16,23.0,9,2,0,2.4285714285714284,0.0,17.0,0.0
1952590,São João da Varjota,2020-07-17,26.0,3,2,0,2.857142857142857,0.0,20.0,0.0
1952591,São João da Varjota,2020-07-18,26.0,0,2,0,2.7142857142857144,0.0,19.0,0.0
1952592,São João da Varjota,2020-07-19,26.0,0,2,0,2.7142857142857144,0.0,19.0,0.0
1952593,São João da Varjota,2020-07-20,26.0,0,2,0,2.7142857142857144,0.0,19.0,0.0
1952594,São João da Varjota,2020-07-21,26.0,0,2,0,2.2857142857142856,0.0,16.0,0.0
1952595,São João da Varjota,2020-07-22,28.0,2,2,0,2.0,0.0,14.0,0.0
1952596,São João da Varjota,2020-07-23,28.0,0,2,0,0.7142857142857143,0.0,5.0,0.0
1952597,São João da Varjota,2020-07-24,30.0,2,2,0,0.5714285714285714,0.0,4.0,0.0
1952598,São João da Varjota,2020-07-25,30.0,0,2,0,0.5714285714285714,0.0,4.0,0.0
1952599,São João da Varjota,2020-07-26,30.0,0,2,0,0.5714285714285714,0.0,4.0,0.0
1952600,São João da Varjota,2020-07-27,30.0,0,2,0,0.5714285714285714,0.0,4.0,0.0
1952601,São João da Varjota,2020-07-28,34.0,4,2,0,1.1428571428571428,0.0,8.0,0.0
1952602,São João da Varjota,2020-07-29,34.0,0,2,0,0.8571428571428571,0.0,6.0,0.0
1952603,São João da Varjota,2020-07-30,35.0,1,2,0,1.0,0.0,7.0,0.0
1952604,São João da Varjota,2020-07-31,35.0,0,2,0,0.7142857142857143,0.0,5.0,0.0
1952605,São João da Varjota,2020-08-01,35.0,0,2,0,0.7142857142857143,0.0,5.0,0.0
1952606,São João da Varjota,2020-08-02,35.0,0,2,0,0.7142857142857143,0.0,5.0,0.0
1952607,São João da Varjota,2020-08-03,37.0,2,2,0,1.0,0.0,7.0,0.0
1952608,São João da Varjota,2020-08-04,37.0,0,2,0,0.42857142857142855,0.0,3.0,0.0
1952609,São João da Varjota,2020-08-05,37.0,0,2,0,0.42857142857142855,0.0,3.0,0.0
1952610,São João da Varjota,2020-08-06,37.0,0,2,0,0.2857142857142857,0.0,2.0,0.0
1952611,São João da Varjota,2020-08-07,38.0,1,2,0,0.42857142857142855,0.0,3.0,0.0
1952612,São João da Varjota,2020-08-08,38.0,0,2,0,0.42857142857142855,0.0,3.0,0.0
1952613,São João da Varjota,2020-08-09,38.0,0,2,0,0.42857142857142855,0.0,3.0,0.0
1952614,São João da Varjota,2020-08-10,38.0,0,2,0,0.14285714285714285,0.0,1.0,0.0
