index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
2026440,São João do Caiuá,2020-03-27,0.0,0,0,0,6.0,0.0,42.0,0.0
2026441,São João do Caiuá,2020-03-28,0.0,0,0,0,5.428571428571429,0.0,38.0,0.0
2026442,São João do Caiuá,2020-03-29,0.0,0,0,0,4.714285714285714,0.0,33.0,0.0
2026443,São João do Caiuá,2020-03-30,0.0,0,0,0,1.8571428571428572,0.0,13.0,0.0
2026444,São João do Caiuá,2020-03-31,0.0,0,0,0,1.7142857142857142,0.0,12.0,0.0
2026445,São João do Caiuá,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
2026446,São João do Caiuá,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2026447,São João do Caiuá,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2026448,São João do Caiuá,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2026449,São João do Caiuá,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2026450,São João do Caiuá,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2026451,São João do Caiuá,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2026452,São João do Caiuá,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
2026453,São João do Caiuá,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
2026454,São João do Caiuá,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
2026455,São João do Caiuá,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
2026456,São João do Caiuá,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
2026457,São João do Caiuá,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
2026458,São João do Caiuá,2020-04-14,2.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
2026459,São João do Caiuá,2020-04-15,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2026460,São João do Caiuá,2020-04-16,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2026461,São João do Caiuá,2020-04-17,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2026462,São João do Caiuá,2020-04-18,6.0,4,0,0,0.8571428571428571,0.0,6.0,0.0
2026463,São João do Caiuá,2020-04-19,6.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
2026464,São João do Caiuá,2020-04-20,6.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
2026465,São João do Caiuá,2020-04-21,6.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
2026466,São João do Caiuá,2020-04-22,7.0,1,0,0,0.7142857142857143,0.0,5.0,0.0
2026467,São João do Caiuá,2020-04-23,7.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
