index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
2130524,São Marcos,2020-03-27,0.0,0,0,0,35.57142857142857,0.8571428571428571,249.0,6.0
2130525,São Marcos,2020-03-28,0.0,0,0,0,33.42857142857143,0.5714285714285714,234.0,4.0
2130526,São Marcos,2020-03-29,0.0,0,0,0,25.714285714285715,0.5714285714285714,180.0,4.0
2130527,São Marcos,2020-03-30,0.0,0,0,0,24.285714285714285,0.5714285714285714,170.0,4.0
2130528,São Marcos,2020-03-31,0.0,0,0,0,11.285714285714286,0.42857142857142855,79.0,3.0
2130529,São Marcos,2020-04-01,0.0,0,0,0,5.285714285714286,0.0,37.0,0.0
2130530,São Marcos,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2130531,São Marcos,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2130532,São Marcos,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2130533,São Marcos,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2130534,São Marcos,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2130535,São Marcos,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2130536,São Marcos,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
2130537,São Marcos,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
2130538,São Marcos,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
2130539,São Marcos,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
2130540,São Marcos,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
2130541,São Marcos,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
2130542,São Marcos,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
2130543,São Marcos,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
2130544,São Marcos,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
2130545,São Marcos,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
2130546,São Marcos,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
2130547,São Marcos,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
2130548,São Marcos,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
2130549,São Marcos,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
2130550,São Marcos,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
2130551,São Marcos,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
