index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
2031315,São Miguel das Missões,2020-03-27,0.0,0,0,0,3.0,0.0,21.0,0.0
2031316,São Miguel das Missões,2020-03-28,0.0,0,0,0,2.857142857142857,0.0,20.0,0.0
2031317,São Miguel das Missões,2020-03-29,0.0,0,0,0,2.4285714285714284,0.0,17.0,0.0
2031318,São Miguel das Missões,2020-03-30,0.0,0,0,0,1.8571428571428572,0.0,13.0,0.0
2031319,São Miguel das Missões,2020-03-31,0.0,0,0,0,1.5714285714285714,0.0,11.0,0.0
2031320,São Miguel das Missões,2020-04-01,0.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
2031321,São Miguel das Missões,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2031322,São Miguel das Missões,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2031323,São Miguel das Missões,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2031324,São Miguel das Missões,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2031325,São Miguel das Missões,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2031326,São Miguel das Missões,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2031327,São Miguel das Missões,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
2031328,São Miguel das Missões,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
2031329,São Miguel das Missões,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
2031330,São Miguel das Missões,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
2031331,São Miguel das Missões,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
2031332,São Miguel das Missões,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
2031333,São Miguel das Missões,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
2031334,São Miguel das Missões,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
2031335,São Miguel das Missões,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
2031336,São Miguel das Missões,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
2031337,São Miguel das Missões,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
2031338,São Miguel das Missões,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
2031339,São Miguel das Missões,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
2031340,São Miguel das Missões,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
2031341,São Miguel das Missões,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
2031342,São Miguel das Missões,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
2031343,São Miguel das Missões,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
2031344,São Miguel das Missões,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
2031345,São Miguel das Missões,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
2031346,São Miguel das Missões,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
2031347,São Miguel das Missões,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
2031348,São Miguel das Missões,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
2031349,São Miguel das Missões,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
2031350,São Miguel das Missões,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
2031351,São Miguel das Missões,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2031352,São Miguel das Missões,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2031353,São Miguel das Missões,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2031354,São Miguel das Missões,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2031355,São Miguel das Missões,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2031356,São Miguel das Missões,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2031357,São Miguel das Missões,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
2031358,São Miguel das Missões,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
2031359,São Miguel das Missões,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
2031360,São Miguel das Missões,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
2031361,São Miguel das Missões,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
2031362,São Miguel das Missões,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
2031363,São Miguel das Missões,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
2031364,São Miguel das Missões,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
2031365,São Miguel das Missões,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
2031366,São Miguel das Missões,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
