index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
2023126,São Miguel do Anta,2020-03-27,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
2023127,São Miguel do Anta,2020-03-28,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
2023128,São Miguel do Anta,2020-03-29,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
2023129,São Miguel do Anta,2020-03-30,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
2023130,São Miguel do Anta,2020-03-31,0.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
2023131,São Miguel do Anta,2020-04-01,0.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
2023132,São Miguel do Anta,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2023133,São Miguel do Anta,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2023134,São Miguel do Anta,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2023135,São Miguel do Anta,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2023136,São Miguel do Anta,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2023137,São Miguel do Anta,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2023138,São Miguel do Anta,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
2023139,São Miguel do Anta,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
2023140,São Miguel do Anta,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
2023141,São Miguel do Anta,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
2023142,São Miguel do Anta,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
2023143,São Miguel do Anta,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
2023144,São Miguel do Anta,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
2023145,São Miguel do Anta,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
2023146,São Miguel do Anta,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
2023147,São Miguel do Anta,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
2023148,São Miguel do Anta,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
2023149,São Miguel do Anta,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
2023150,São Miguel do Anta,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
2023151,São Miguel do Anta,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
2023152,São Miguel do Anta,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
2023153,São Miguel do Anta,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
2023154,São Miguel do Anta,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
2023155,São Miguel do Anta,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
2023156,São Miguel do Anta,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
2023157,São Miguel do Anta,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
2023158,São Miguel do Anta,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
2023159,São Miguel do Anta,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
2023160,São Miguel do Anta,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
2023161,São Miguel do Anta,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
2023162,São Miguel do Anta,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2023163,São Miguel do Anta,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2023164,São Miguel do Anta,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2023165,São Miguel do Anta,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2023166,São Miguel do Anta,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2023167,São Miguel do Anta,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2023168,São Miguel do Anta,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
2023169,São Miguel do Anta,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
2023170,São Miguel do Anta,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
