index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
2126974,São Pedro do Piauí,2020-03-27,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2126975,São Pedro do Piauí,2020-03-28,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2126976,São Pedro do Piauí,2020-03-29,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2126977,São Pedro do Piauí,2020-03-30,0.0,0,0,0,0.0,0.0,0.0,0.0
2126978,São Pedro do Piauí,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
2126979,São Pedro do Piauí,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
2126980,São Pedro do Piauí,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2126981,São Pedro do Piauí,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2126982,São Pedro do Piauí,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2126983,São Pedro do Piauí,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2126984,São Pedro do Piauí,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2126985,São Pedro do Piauí,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2126986,São Pedro do Piauí,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
2126987,São Pedro do Piauí,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
2126988,São Pedro do Piauí,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
2126989,São Pedro do Piauí,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
2126990,São Pedro do Piauí,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
2126991,São Pedro do Piauí,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
2126992,São Pedro do Piauí,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
2126993,São Pedro do Piauí,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
2126994,São Pedro do Piauí,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
2126995,São Pedro do Piauí,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
2126996,São Pedro do Piauí,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
2126997,São Pedro do Piauí,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
2126998,São Pedro do Piauí,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
2126999,São Pedro do Piauí,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
2127000,São Pedro do Piauí,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
2127001,São Pedro do Piauí,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
2127002,São Pedro do Piauí,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
2127003,São Pedro do Piauí,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
2127004,São Pedro do Piauí,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
2127005,São Pedro do Piauí,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
2127006,São Pedro do Piauí,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
2127007,São Pedro do Piauí,2020-04-29,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
2127008,São Pedro do Piauí,2020-04-30,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2127009,São Pedro do Piauí,2020-05-01,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2127010,São Pedro do Piauí,2020-05-02,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2127011,São Pedro do Piauí,2020-05-03,2.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
2127012,São Pedro do Piauí,2020-05-04,1.0,-1,0,0,0.14285714285714285,0.0,1.0,0.0
2127013,São Pedro do Piauí,2020-05-05,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2127014,São Pedro do Piauí,2020-05-06,1.0,0,0,0,0.0,0.0,0.0,0.0
2127015,São Pedro do Piauí,2020-05-07,1.0,0,0,0,0.0,0.0,0.0,0.0
2127016,São Pedro do Piauí,2020-05-08,1.0,0,0,0,0.0,0.0,0.0,0.0
2127017,São Pedro do Piauí,2020-05-09,3.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
2127018,São Pedro do Piauí,2020-05-10,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2127019,São Pedro do Piauí,2020-05-11,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2127020,São Pedro do Piauí,2020-05-12,4.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
2127021,São Pedro do Piauí,2020-05-13,6.0,2,0,0,0.7142857142857143,0.0,5.0,0.0
2127022,São Pedro do Piauí,2020-05-14,8.0,2,0,0,1.0,0.0,7.0,0.0
2127023,São Pedro do Piauí,2020-05-15,7.0,-1,0,0,0.8571428571428571,0.0,6.0,0.0
2127024,São Pedro do Piauí,2020-05-16,7.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
2127025,São Pedro do Piauí,2020-05-17,7.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
2127026,São Pedro do Piauí,2020-05-18,9.0,2,0,0,0.8571428571428571,0.0,6.0,0.0
2127027,São Pedro do Piauí,2020-05-19,10.0,1,0,0,0.8571428571428571,0.0,6.0,0.0
