index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
2045510,São Pedro,2020-03-27,0.0,0,0,0,3.5714285714285716,0.0,25.0,0.0
2045511,São Pedro,2020-03-28,1.0,1,0,0,3.0,0.0,21.0,0.0
2045512,São Pedro,2020-03-29,1.0,0,0,0,2.4285714285714284,0.0,17.0,0.0
2045513,São Pedro,2020-03-30,1.0,0,0,0,1.1428571428571428,0.0,8.0,0.0
2045514,São Pedro,2020-03-31,1.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2045515,São Pedro,2020-04-01,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2045516,São Pedro,2020-04-02,0.0,-1,0,0,0.0,0.0,0.0,0.0
2045517,São Pedro,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2045518,São Pedro,2020-04-04,1.0,1,0,0,0.0,0.0,0.0,0.0
2045519,São Pedro,2020-04-05,1.0,0,0,0,0.0,0.0,0.0,0.0
2045520,São Pedro,2020-04-06,2.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
2045521,São Pedro,2020-04-07,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2045522,São Pedro,2020-04-08,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2045523,São Pedro,2020-04-09,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2045524,São Pedro,2020-04-10,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2045525,São Pedro,2020-04-11,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2045526,São Pedro,2020-04-12,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2045527,São Pedro,2020-04-13,2.0,0,0,0,0.0,0.0,0.0,0.0
2045528,São Pedro,2020-04-14,2.0,0,0,0,0.0,0.0,0.0,0.0
2045529,São Pedro,2020-04-15,2.0,0,0,0,0.0,0.0,0.0,0.0
2045530,São Pedro,2020-04-16,2.0,0,0,0,0.0,0.0,0.0,0.0
2045531,São Pedro,2020-04-17,2.0,0,0,0,0.0,0.0,0.0,0.0
2045532,São Pedro,2020-04-18,2.0,0,0,0,0.0,0.0,0.0,0.0
2045533,São Pedro,2020-04-19,2.0,0,0,0,0.0,0.0,0.0,0.0
2045534,São Pedro,2020-04-20,2.0,0,0,0,0.0,0.0,0.0,0.0
2045535,São Pedro,2020-04-21,2.0,0,0,0,0.0,0.0,0.0,0.0
2045536,São Pedro,2020-04-22,2.0,0,0,0,0.0,0.0,0.0,0.0
2045537,São Pedro,2020-04-23,2.0,0,0,0,0.0,0.0,0.0,0.0
2045538,São Pedro,2020-04-24,2.0,0,0,0,0.0,0.0,0.0,0.0
2045539,São Pedro,2020-04-25,2.0,0,0,0,0.0,0.0,0.0,0.0
2045540,São Pedro,2020-04-26,2.0,0,0,0,0.0,0.0,0.0,0.0
2045541,São Pedro,2020-04-27,2.0,0,0,0,0.0,0.0,0.0,0.0
2045542,São Pedro,2020-04-28,2.0,0,0,0,0.0,0.0,0.0,0.0
2045543,São Pedro,2020-04-29,7.0,5,0,0,0.7142857142857143,0.0,5.0,0.0
2045544,São Pedro,2020-04-30,18.0,11,0,0,2.2857142857142856,0.0,16.0,0.0
2045545,São Pedro,2020-05-01,25.0,7,0,0,3.2857142857142856,0.0,23.0,0.0
2045546,São Pedro,2020-05-02,27.0,2,0,0,3.5714285714285716,0.0,25.0,0.0
2045547,São Pedro,2020-05-03,27.0,0,0,0,3.5714285714285716,0.0,25.0,0.0
2045548,São Pedro,2020-05-04,27.0,0,0,0,3.5714285714285716,0.0,25.0,0.0
2045549,São Pedro,2020-05-05,28.0,1,0,0,3.7142857142857144,0.0,26.0,0.0
2045550,São Pedro,2020-05-06,28.0,0,0,0,3.0,0.0,21.0,0.0
2045551,São Pedro,2020-05-07,37.0,9,0,0,2.7142857142857144,0.0,19.0,0.0
2045552,São Pedro,2020-05-08,37.0,0,0,0,1.7142857142857142,0.0,12.0,0.0
2045553,São Pedro,2020-05-09,40.0,3,0,0,1.8571428571428572,0.0,13.0,0.0
2045554,São Pedro,2020-05-10,40.0,0,0,0,1.8571428571428572,0.0,13.0,0.0
2045555,São Pedro,2020-05-11,40.0,0,0,0,1.8571428571428572,0.0,13.0,0.0
2045556,São Pedro,2020-05-12,41.0,1,0,0,1.8571428571428572,0.0,13.0,0.0
2045557,São Pedro,2020-05-13,47.0,6,0,0,2.7142857142857144,0.0,19.0,0.0
2045558,São Pedro,2020-05-14,57.0,10,0,0,2.857142857142857,0.0,20.0,0.0
2045559,São Pedro,2020-05-15,57.0,0,0,0,2.857142857142857,0.0,20.0,0.0
2045560,São Pedro,2020-05-16,57.0,0,0,0,2.4285714285714284,0.0,17.0,0.0
2045561,São Pedro,2020-05-17,57.0,0,0,0,2.4285714285714284,0.0,17.0,0.0
2045562,São Pedro,2020-05-18,57.0,0,0,0,2.4285714285714284,0.0,17.0,0.0
2045563,São Pedro,2020-05-19,57.0,0,0,0,2.2857142857142856,0.0,16.0,0.0
2045564,São Pedro,2020-05-20,53.0,-4,0,0,0.8571428571428571,0.0,6.0,0.0
2045565,São Pedro,2020-05-21,56.0,3,0,0,-0.14285714285714285,0.0,-1.0,0.0
2045566,São Pedro,2020-05-22,56.0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
2045567,São Pedro,2020-05-23,59.0,3,0,0,0.2857142857142857,0.0,2.0,0.0
2045568,São Pedro,2020-05-24,59.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2045569,São Pedro,2020-05-25,59.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2045570,São Pedro,2020-05-26,65.0,6,0,0,1.1428571428571428,0.0,8.0,0.0
2045571,São Pedro,2020-05-27,68.0,3,0,0,2.142857142857143,0.0,15.0,0.0
2045572,São Pedro,2020-05-28,67.0,-1,0,0,1.5714285714285714,0.0,11.0,0.0
2045573,São Pedro,2020-05-29,68.0,1,0,0,1.7142857142857142,0.0,12.0,0.0
2045574,São Pedro,2020-05-30,69.0,1,0,0,1.4285714285714286,0.0,10.0,0.0
2045575,São Pedro,2020-05-31,69.0,0,0,0,1.4285714285714286,0.0,10.0,0.0
2045576,São Pedro,2020-06-01,69.0,0,0,0,1.4285714285714286,0.0,10.0,0.0
2045577,São Pedro,2020-06-02,69.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
2045578,São Pedro,2020-06-03,76.0,7,0,0,1.1428571428571428,0.0,8.0,0.0
2045579,São Pedro,2020-06-04,83.0,7,1,1,2.2857142857142856,0.14285714285714285,16.0,1.0
2045580,São Pedro,2020-06-05,83.0,0,1,0,2.142857142857143,0.14285714285714285,15.0,1.0
2045581,São Pedro,2020-06-06,84.0,1,1,0,2.142857142857143,0.14285714285714285,15.0,1.0
2045582,São Pedro,2020-06-07,85.0,1,1,0,2.2857142857142856,0.14285714285714285,16.0,1.0
2045583,São Pedro,2020-06-08,88.0,3,1,0,2.7142857142857144,0.14285714285714285,19.0,1.0
2045584,São Pedro,2020-06-09,88.0,0,1,0,2.7142857142857144,0.14285714285714285,19.0,1.0
2045585,São Pedro,2020-06-10,90.0,2,2,1,2.0,0.2857142857142857,14.0,2.0
2045586,São Pedro,2020-06-11,91.0,1,2,0,1.1428571428571428,0.14285714285714285,8.0,1.0
2045587,São Pedro,2020-06-12,95.0,4,4,2,1.7142857142857142,0.42857142857142855,12.0,3.0
2045588,São Pedro,2020-06-13,98.0,3,4,0,2.0,0.42857142857142855,14.0,3.0
2045589,São Pedro,2020-06-14,98.0,0,4,0,1.8571428571428572,0.42857142857142855,13.0,3.0
2045590,São Pedro,2020-06-15,99.0,1,4,0,1.5714285714285714,0.42857142857142855,11.0,3.0
2045591,São Pedro,2020-06-16,100.0,1,4,0,1.7142857142857142,0.42857142857142855,12.0,3.0
2045592,São Pedro,2020-06-17,100.0,0,4,0,1.4285714285714286,0.2857142857142857,10.0,2.0
2045593,São Pedro,2020-06-18,102.0,2,4,0,1.5714285714285714,0.2857142857142857,11.0,2.0
2045594,São Pedro,2020-06-19,104.0,2,5,1,1.2857142857142858,0.14285714285714285,9.0,1.0
2045595,São Pedro,2020-06-20,128.0,24,5,0,4.285714285714286,0.14285714285714285,30.0,1.0
2045596,São Pedro,2020-06-21,128.0,0,5,0,4.285714285714286,0.14285714285714285,30.0,1.0
2045597,São Pedro,2020-06-22,129.0,1,5,0,4.285714285714286,0.14285714285714285,30.0,1.0
2045598,São Pedro,2020-06-23,129.0,0,6,1,4.142857142857143,0.2857142857142857,29.0,2.0
2045599,São Pedro,2020-06-24,139.0,10,6,0,5.571428571428571,0.2857142857142857,39.0,2.0
2045600,São Pedro,2020-06-25,141.0,2,6,0,5.571428571428571,0.2857142857142857,39.0,2.0
2045601,São Pedro,2020-06-26,142.0,1,6,0,5.428571428571429,0.14285714285714285,38.0,1.0
