index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1987850,São Sebastião da Vargem Alegre,2020-03-27,0,0,0,0,4.857142857142857,0.0,34.0,0.0
1987851,São Sebastião da Vargem Alegre,2020-03-28,0,0,0,0,4.857142857142857,0.0,34.0,0.0
1987852,São Sebastião da Vargem Alegre,2020-03-29,0,0,0,0,3.5714285714285716,0.0,25.0,0.0
1987853,São Sebastião da Vargem Alegre,2020-03-30,0,0,0,0,2.857142857142857,0.0,20.0,0.0
1987854,São Sebastião da Vargem Alegre,2020-03-31,0,0,0,0,2.857142857142857,0.0,20.0,0.0
1987855,São Sebastião da Vargem Alegre,2020-04-01,0,0,0,0,0.7142857142857143,0.0,5.0,0.0
1987856,São Sebastião da Vargem Alegre,2020-04-02,0,0,0,0,0.0,0.0,0.0,0.0
1987857,São Sebastião da Vargem Alegre,2020-04-03,0,0,0,0,0.0,0.0,0.0,0.0
1987858,São Sebastião da Vargem Alegre,2020-04-04,0,0,0,0,0.0,0.0,0.0,0.0
1987859,São Sebastião da Vargem Alegre,2020-04-05,0,0,0,0,0.0,0.0,0.0,0.0
1987860,São Sebastião da Vargem Alegre,2020-04-06,0,0,0,0,0.0,0.0,0.0,0.0
1987861,São Sebastião da Vargem Alegre,2020-04-07,0,0,0,0,0.0,0.0,0.0,0.0
1987862,São Sebastião da Vargem Alegre,2020-04-08,0,0,0,0,0.0,0.0,0.0,0.0
1987863,São Sebastião da Vargem Alegre,2020-04-09,0,0,0,0,0.0,0.0,0.0,0.0
1987864,São Sebastião da Vargem Alegre,2020-04-10,0,0,0,0,0.0,0.0,0.0,0.0
1987865,São Sebastião da Vargem Alegre,2020-04-11,0,0,0,0,0.0,0.0,0.0,0.0
1987866,São Sebastião da Vargem Alegre,2020-04-12,0,0,0,0,0.0,0.0,0.0,0.0
1987867,São Sebastião da Vargem Alegre,2020-04-13,0,0,0,0,0.0,0.0,0.0,0.0
1987868,São Sebastião da Vargem Alegre,2020-04-14,0,0,0,0,0.0,0.0,0.0,0.0
1987869,São Sebastião da Vargem Alegre,2020-04-15,0,0,0,0,0.0,0.0,0.0,0.0
1987870,São Sebastião da Vargem Alegre,2020-04-16,0,0,0,0,0.0,0.0,0.0,0.0
1987871,São Sebastião da Vargem Alegre,2020-04-17,0,0,0,0,0.0,0.0,0.0,0.0
1987872,São Sebastião da Vargem Alegre,2020-04-18,0,0,0,0,0.0,0.0,0.0,0.0
1987873,São Sebastião da Vargem Alegre,2020-04-19,0,0,0,0,0.0,0.0,0.0,0.0
1987874,São Sebastião da Vargem Alegre,2020-04-20,0,0,0,0,0.0,0.0,0.0,0.0
1987875,São Sebastião da Vargem Alegre,2020-04-21,0,0,0,0,0.0,0.0,0.0,0.0
1987876,São Sebastião da Vargem Alegre,2020-04-22,0,0,0,0,0.0,0.0,0.0,0.0
1987877,São Sebastião da Vargem Alegre,2020-04-23,0,0,0,0,0.0,0.0,0.0,0.0
1987878,São Sebastião da Vargem Alegre,2020-04-24,0,0,0,0,0.0,0.0,0.0,0.0
1987879,São Sebastião da Vargem Alegre,2020-04-25,0,0,0,0,0.0,0.0,0.0,0.0
1987880,São Sebastião da Vargem Alegre,2020-04-26,0,0,0,0,0.0,0.0,0.0,0.0
1987881,São Sebastião da Vargem Alegre,2020-04-27,0,0,0,0,0.0,0.0,0.0,0.0
1987882,São Sebastião da Vargem Alegre,2020-04-28,0,0,0,0,0.0,0.0,0.0,0.0
1987883,São Sebastião da Vargem Alegre,2020-04-29,0,0,0,0,0.0,0.0,0.0,0.0
1987884,São Sebastião da Vargem Alegre,2020-04-30,0,0,0,0,0.0,0.0,0.0,0.0
1987885,São Sebastião da Vargem Alegre,2020-05-01,0,0,0,0,0.0,0.0,0.0,0.0
1987886,São Sebastião da Vargem Alegre,2020-05-02,0,0,0,0,0.0,0.0,0.0,0.0
1987887,São Sebastião da Vargem Alegre,2020-05-03,0,0,0,0,0.0,0.0,0.0,0.0
1987888,São Sebastião da Vargem Alegre,2020-05-04,0,0,0,0,0.0,0.0,0.0,0.0
1987889,São Sebastião da Vargem Alegre,2020-05-05,0,0,0,0,0.0,0.0,0.0,0.0
1987890,São Sebastião da Vargem Alegre,2020-05-06,0,0,0,0,0.0,0.0,0.0,0.0
1987891,São Sebastião da Vargem Alegre,2020-05-07,0,0,0,0,0.0,0.0,0.0,0.0
1987892,São Sebastião da Vargem Alegre,2020-05-08,0,0,0,0,0.0,0.0,0.0,0.0
