index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
2025178,São Sebastião do Rio Preto,2020-03-27,0.0,0,0,0,5.0,0.0,35.0,0.0
2025179,São Sebastião do Rio Preto,2020-03-28,0.0,0,0,0,5.0,0.0,35.0,0.0
2025180,São Sebastião do Rio Preto,2020-03-29,0.0,0,0,0,3.7142857142857144,0.0,26.0,0.0
2025181,São Sebastião do Rio Preto,2020-03-30,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
2025182,São Sebastião do Rio Preto,2020-03-31,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2025183,São Sebastião do Rio Preto,2020-04-01,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2025184,São Sebastião do Rio Preto,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2025185,São Sebastião do Rio Preto,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2025186,São Sebastião do Rio Preto,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2025187,São Sebastião do Rio Preto,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2025188,São Sebastião do Rio Preto,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2025189,São Sebastião do Rio Preto,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2025190,São Sebastião do Rio Preto,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
2025191,São Sebastião do Rio Preto,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
2025192,São Sebastião do Rio Preto,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
2025193,São Sebastião do Rio Preto,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
2025194,São Sebastião do Rio Preto,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
2025195,São Sebastião do Rio Preto,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
2025196,São Sebastião do Rio Preto,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
