index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
2055140,Tapejara,2020-03-27,0.0,0,0,0,1.4285714285714286,0.0,10.0,0.0
2055141,Tapejara,2020-03-28,0.0,0,0,0,1.4285714285714286,0.0,10.0,0.0
2055142,Tapejara,2020-03-29,0.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
2055143,Tapejara,2020-03-30,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
2055144,Tapejara,2020-03-31,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2055145,Tapejara,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
2055146,Tapejara,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2055147,Tapejara,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2055148,Tapejara,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2055149,Tapejara,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2055150,Tapejara,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2055151,Tapejara,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2055152,Tapejara,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
2055153,Tapejara,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
2055154,Tapejara,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
2055155,Tapejara,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
2055156,Tapejara,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
2055157,Tapejara,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
2055158,Tapejara,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
2055159,Tapejara,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
2055160,Tapejara,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
