index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
2100790,Treze de Maio,2020-03-27,0.0,0,0,0,1.8571428571428572,0.0,13.0,0.0
2100791,Treze de Maio,2020-03-28,0.0,0,0,0,1.8571428571428572,0.0,13.0,0.0
2100792,Treze de Maio,2020-03-29,0.0,0,0,0,1.8571428571428572,0.0,13.0,0.0
2100793,Treze de Maio,2020-03-30,0.0,0,0,0,1.5714285714285714,0.0,11.0,0.0
2100794,Treze de Maio,2020-03-31,0.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
2100795,Treze de Maio,2020-04-01,0.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
2100796,Treze de Maio,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2100797,Treze de Maio,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2100798,Treze de Maio,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2100799,Treze de Maio,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2100800,Treze de Maio,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2100801,Treze de Maio,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2100802,Treze de Maio,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
2100803,Treze de Maio,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
2100804,Treze de Maio,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
2100805,Treze de Maio,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
2100806,Treze de Maio,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
2100807,Treze de Maio,2020-04-13,2.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
2100808,Treze de Maio,2020-04-14,1.0,-1,0,0,0.14285714285714285,0.0,1.0,0.0
2100809,Treze de Maio,2020-04-15,2.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
2100810,Treze de Maio,2020-04-16,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2100811,Treze de Maio,2020-04-17,3.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
2100812,Treze de Maio,2020-04-18,3.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
2100813,Treze de Maio,2020-04-19,3.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
2100814,Treze de Maio,2020-04-20,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2100815,Treze de Maio,2020-04-21,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2100816,Treze de Maio,2020-04-22,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2100817,Treze de Maio,2020-04-23,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2100818,Treze de Maio,2020-04-24,3.0,0,0,0,0.0,0.0,0.0,0.0
2100819,Treze de Maio,2020-04-25,3.0,0,0,0,0.0,0.0,0.0,0.0
2100820,Treze de Maio,2020-04-26,3.0,0,0,0,0.0,0.0,0.0,0.0
2100821,Treze de Maio,2020-04-27,3.0,0,0,0,0.0,0.0,0.0,0.0
2100822,Treze de Maio,2020-04-28,3.0,0,0,0,0.0,0.0,0.0,0.0
2100823,Treze de Maio,2020-04-29,3.0,0,0,0,0.0,0.0,0.0,0.0
2100824,Treze de Maio,2020-04-30,3.0,0,0,0,0.0,0.0,0.0,0.0
2100825,Treze de Maio,2020-05-01,3.0,0,0,0,0.0,0.0,0.0,0.0
2100826,Treze de Maio,2020-05-02,3.0,0,0,0,0.0,0.0,0.0,0.0
2100827,Treze de Maio,2020-05-03,3.0,0,0,0,0.0,0.0,0.0,0.0
2100828,Treze de Maio,2020-05-04,3.0,0,0,0,0.0,0.0,0.0,0.0
2100829,Treze de Maio,2020-05-05,3.0,0,0,0,0.0,0.0,0.0,0.0
2100830,Treze de Maio,2020-05-06,3.0,0,0,0,0.0,0.0,0.0,0.0
2100831,Treze de Maio,2020-05-07,3.0,0,0,0,0.0,0.0,0.0,0.0
2100832,Treze de Maio,2020-05-08,3.0,0,0,0,0.0,0.0,0.0,0.0
2100833,Treze de Maio,2020-05-09,3.0,0,0,0,0.0,0.0,0.0,0.0
2100834,Treze de Maio,2020-05-10,3.0,0,0,0,0.0,0.0,0.0,0.0
2100835,Treze de Maio,2020-05-11,3.0,0,0,0,0.0,0.0,0.0,0.0
2100836,Treze de Maio,2020-05-12,3.0,0,0,0,0.0,0.0,0.0,0.0
2100837,Treze de Maio,2020-05-13,3.0,0,0,0,0.0,0.0,0.0,0.0
2100838,Treze de Maio,2020-05-14,3.0,0,0,0,0.0,0.0,0.0,0.0
2100839,Treze de Maio,2020-05-15,3.0,0,0,0,0.0,0.0,0.0,0.0
2100840,Treze de Maio,2020-05-16,3.0,0,0,0,0.0,0.0,0.0,0.0
2100841,Treze de Maio,2020-05-17,3.0,0,0,0,0.0,0.0,0.0,0.0
2100842,Treze de Maio,2020-05-18,3.0,0,0,0,0.0,0.0,0.0,0.0
2100843,Treze de Maio,2020-05-19,3.0,0,0,0,0.0,0.0,0.0,0.0
2100844,Treze de Maio,2020-05-20,3.0,0,0,0,0.0,0.0,0.0,0.0
2100845,Treze de Maio,2020-05-21,3.0,0,0,0,0.0,0.0,0.0,0.0
2100846,Treze de Maio,2020-05-22,3.0,0,0,0,0.0,0.0,0.0,0.0
2100847,Treze de Maio,2020-05-23,3.0,0,0,0,0.0,0.0,0.0,0.0
2100848,Treze de Maio,2020-05-24,3.0,0,0,0,0.0,0.0,0.0,0.0
2100849,Treze de Maio,2020-05-25,3.0,0,0,0,0.0,0.0,0.0,0.0
2100850,Treze de Maio,2020-05-26,3.0,0,0,0,0.0,0.0,0.0,0.0
2100851,Treze de Maio,2020-05-27,3.0,0,0,0,0.0,0.0,0.0,0.0
2100852,Treze de Maio,2020-05-28,3.0,0,0,0,0.0,0.0,0.0,0.0
2100853,Treze de Maio,2020-05-29,3.0,0,0,0,0.0,0.0,0.0,0.0
2100854,Treze de Maio,2020-05-30,3.0,0,0,0,0.0,0.0,0.0,0.0
2100855,Treze de Maio,2020-05-31,3.0,0,0,0,0.0,0.0,0.0,0.0
2100856,Treze de Maio,2020-06-01,3.0,0,0,0,0.0,0.0,0.0,0.0
2100857,Treze de Maio,2020-06-02,4.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
2100858,Treze de Maio,2020-06-03,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2100859,Treze de Maio,2020-06-04,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2100860,Treze de Maio,2020-06-05,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2100861,Treze de Maio,2020-06-06,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2100862,Treze de Maio,2020-06-07,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2100863,Treze de Maio,2020-06-08,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2100864,Treze de Maio,2020-06-09,4.0,0,0,0,0.0,0.0,0.0,0.0
2100865,Treze de Maio,2020-06-10,4.0,0,0,0,0.0,0.0,0.0,0.0
2100866,Treze de Maio,2020-06-11,4.0,0,0,0,0.0,0.0,0.0,0.0
2100867,Treze de Maio,2020-06-12,4.0,0,0,0,0.0,0.0,0.0,0.0
2100868,Treze de Maio,2020-06-13,4.0,0,0,0,0.0,0.0,0.0,0.0
2100869,Treze de Maio,2020-06-14,4.0,0,0,0,0.0,0.0,0.0,0.0
2100870,Treze de Maio,2020-06-15,4.0,0,0,0,0.0,0.0,0.0,0.0
2100871,Treze de Maio,2020-06-16,3.0,-1,0,0,-0.14285714285714285,0.0,-1.0,0.0
2100872,Treze de Maio,2020-06-17,3.0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
2100873,Treze de Maio,2020-06-18,4.0,1,0,0,0.0,0.0,0.0,0.0
2100874,Treze de Maio,2020-06-19,4.0,0,0,0,0.0,0.0,0.0,0.0
2100875,Treze de Maio,2020-06-20,4.0,0,0,0,0.0,0.0,0.0,0.0
2100876,Treze de Maio,2020-06-21,4.0,0,0,0,0.0,0.0,0.0,0.0
2100877,Treze de Maio,2020-06-22,4.0,0,0,0,0.0,0.0,0.0,0.0
2100878,Treze de Maio,2020-06-23,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2100879,Treze de Maio,2020-06-24,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2100880,Treze de Maio,2020-06-25,4.0,0,0,0,0.0,0.0,0.0,0.0
2100881,Treze de Maio,2020-06-26,4.0,0,0,0,0.0,0.0,0.0,0.0
2100882,Treze de Maio,2020-06-27,4.0,0,0,0,0.0,0.0,0.0,0.0
2100883,Treze de Maio,2020-06-28,4.0,0,0,0,0.0,0.0,0.0,0.0
2100884,Treze de Maio,2020-06-29,5.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
2100885,Treze de Maio,2020-06-30,7.0,2,0,0,0.42857142857142855,0.0,3.0,0.0
2100886,Treze de Maio,2020-07-01,7.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
2100887,Treze de Maio,2020-07-02,7.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
2100888,Treze de Maio,2020-07-03,7.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
2100889,Treze de Maio,2020-07-04,10.0,3,0,0,0.8571428571428571,0.0,6.0,0.0
2100890,Treze de Maio,2020-07-05,10.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
2100891,Treze de Maio,2020-07-06,10.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
2100892,Treze de Maio,2020-07-07,10.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
2100893,Treze de Maio,2020-07-08,12.0,2,0,0,0.7142857142857143,0.0,5.0,0.0
2100894,Treze de Maio,2020-07-09,14.0,2,0,0,1.0,0.0,7.0,0.0
2100895,Treze de Maio,2020-07-10,14.0,0,0,0,1.0,0.0,7.0,0.0
2100896,Treze de Maio,2020-07-11,16.0,2,0,0,0.8571428571428571,0.0,6.0,0.0
2100897,Treze de Maio,2020-07-12,16.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
2100898,Treze de Maio,2020-07-13,16.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
2100899,Treze de Maio,2020-07-14,20.0,4,0,0,1.4285714285714286,0.0,10.0,0.0
2100900,Treze de Maio,2020-07-15,22.0,2,0,0,1.4285714285714286,0.0,10.0,0.0
2100901,Treze de Maio,2020-07-16,25.0,3,0,0,1.5714285714285714,0.0,11.0,0.0
2100902,Treze de Maio,2020-07-17,25.0,0,0,0,1.5714285714285714,0.0,11.0,0.0
2100903,Treze de Maio,2020-07-18,28.0,3,0,0,1.7142857142857142,0.0,12.0,0.0
2100904,Treze de Maio,2020-07-19,28.0,0,0,0,1.7142857142857142,0.0,12.0,0.0
2100905,Treze de Maio,2020-07-20,33.0,5,0,0,2.4285714285714284,0.0,17.0,0.0
2100906,Treze de Maio,2020-07-21,36.0,3,0,0,2.2857142857142856,0.0,16.0,0.0
2100907,Treze de Maio,2020-07-22,40.0,4,0,0,2.5714285714285716,0.0,18.0,0.0
2100908,Treze de Maio,2020-07-23,48.0,8,0,0,3.2857142857142856,0.0,23.0,0.0
2100909,Treze de Maio,2020-07-24,50.0,2,0,0,3.5714285714285716,0.0,25.0,0.0
2100910,Treze de Maio,2020-07-25,54.0,4,1,1,3.7142857142857144,0.14285714285714285,26.0,1.0
2100911,Treze de Maio,2020-07-26,55.0,1,1,0,3.857142857142857,0.14285714285714285,27.0,1.0
2100912,Treze de Maio,2020-07-27,61.0,6,1,0,4.0,0.14285714285714285,28.0,1.0
2100913,Treze de Maio,2020-07-28,65.0,4,1,0,4.142857142857143,0.14285714285714285,29.0,1.0
2100914,Treze de Maio,2020-07-29,70.0,5,1,0,4.285714285714286,0.14285714285714285,30.0,1.0
2100915,Treze de Maio,2020-07-30,77.0,7,1,0,4.142857142857143,0.14285714285714285,29.0,1.0
2100916,Treze de Maio,2020-07-31,83.0,6,1,0,4.714285714285714,0.14285714285714285,33.0,1.0
2100917,Treze de Maio,2020-08-01,84.0,1,1,0,4.285714285714286,0.0,30.0,0.0
2100918,Treze de Maio,2020-08-02,84.0,0,1,0,4.142857142857143,0.0,29.0,0.0
2100919,Treze de Maio,2020-08-03,84.0,0,1,0,3.2857142857142856,0.0,23.0,0.0
2100920,Treze de Maio,2020-08-04,90.0,6,1,0,3.5714285714285716,0.0,25.0,0.0
2100921,Treze de Maio,2020-08-05,90.0,0,1,0,2.857142857142857,0.0,20.0,0.0
2100922,Treze de Maio,2020-08-06,102.0,12,1,0,3.5714285714285716,0.0,25.0,0.0
2100923,Treze de Maio,2020-08-07,104.0,2,1,0,3.0,0.0,21.0,0.0
