index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
2159030,Tumiritinga,2020-03-27,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2159031,Tumiritinga,2020-03-28,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2159032,Tumiritinga,2020-03-29,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2159033,Tumiritinga,2020-03-30,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2159034,Tumiritinga,2020-03-31,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2159035,Tumiritinga,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
2159036,Tumiritinga,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2159037,Tumiritinga,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2159038,Tumiritinga,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2159039,Tumiritinga,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2159040,Tumiritinga,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2159041,Tumiritinga,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2159042,Tumiritinga,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
2159043,Tumiritinga,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
2159044,Tumiritinga,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
2159045,Tumiritinga,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
2159046,Tumiritinga,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
2159047,Tumiritinga,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
2159048,Tumiritinga,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
2159049,Tumiritinga,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
2159050,Tumiritinga,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
2159051,Tumiritinga,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
2159052,Tumiritinga,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
2159053,Tumiritinga,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
2159054,Tumiritinga,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
2159055,Tumiritinga,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
2159056,Tumiritinga,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
2159057,Tumiritinga,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
2159058,Tumiritinga,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
2159059,Tumiritinga,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
