index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
2272995,União Paulista,2020-03-27,0.0,0,0,0,4.0,0.2857142857142857,28.0,2.0
2272996,União Paulista,2020-03-28,0.0,0,0,0,2.2857142857142856,0.2857142857142857,16.0,2.0
2272997,União Paulista,2020-03-29,0.0,0,0,0,1.4285714285714286,0.2857142857142857,10.0,2.0
2272998,União Paulista,2020-03-30,0.0,0,0,0,1.2857142857142858,0.14285714285714285,9.0,1.0
2272999,União Paulista,2020-03-31,0.0,0,0,0,1.2857142857142858,0.14285714285714285,9.0,1.0
2273000,União Paulista,2020-04-01,0.0,0,0,0,1.1428571428571428,0.0,8.0,0.0
2273001,União Paulista,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2273002,União Paulista,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2273003,União Paulista,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2273004,União Paulista,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2273005,União Paulista,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2273006,União Paulista,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2273007,União Paulista,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
2273008,União Paulista,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
2273009,União Paulista,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
2273010,União Paulista,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
2273011,União Paulista,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
2273012,União Paulista,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
2273013,União Paulista,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
2273014,União Paulista,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
2273015,União Paulista,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
2273016,União Paulista,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
2273017,União Paulista,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
2273018,União Paulista,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
2273019,União Paulista,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
2273020,União Paulista,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
2273021,União Paulista,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
2273022,União Paulista,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
2273023,União Paulista,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
2273024,União Paulista,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
2273025,União Paulista,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
2273026,União Paulista,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
2273027,União Paulista,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
2273028,União Paulista,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
2273029,União Paulista,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
2273030,União Paulista,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
2273031,União Paulista,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2273032,União Paulista,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2273033,União Paulista,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2273034,União Paulista,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2273035,União Paulista,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2273036,União Paulista,2020-05-07,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
2273037,União Paulista,2020-05-08,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2273038,União Paulista,2020-05-09,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2273039,União Paulista,2020-05-10,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2273040,União Paulista,2020-05-11,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2273041,União Paulista,2020-05-12,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
