index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
2215228,Urânia,2020-03-27,0.0,0,0,0,6.857142857142857,0.0,48.0,0.0
2215229,Urânia,2020-03-28,0.0,0,0,0,5.428571428571429,0.0,38.0,0.0
2215230,Urânia,2020-03-29,0.0,0,0,0,4.714285714285714,0.0,33.0,0.0
2215231,Urânia,2020-03-30,0.0,0,0,0,3.0,0.0,21.0,0.0
2215232,Urânia,2020-03-31,0.0,0,0,0,2.857142857142857,0.0,20.0,0.0
2215233,Urânia,2020-04-01,0.0,0,0,0,1.5714285714285714,0.0,11.0,0.0
2215234,Urânia,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2215235,Urânia,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2215236,Urânia,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2215237,Urânia,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2215238,Urânia,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2215239,Urânia,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2215240,Urânia,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
2215241,Urânia,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
2215242,Urânia,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
2215243,Urânia,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
2215244,Urânia,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
2215245,Urânia,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
2215246,Urânia,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
2215247,Urânia,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
2215248,Urânia,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
2215249,Urânia,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
2215250,Urânia,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
2215251,Urânia,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
2215252,Urânia,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
2215253,Urânia,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
2215254,Urânia,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
2215255,Urânia,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
2215256,Urânia,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
2215257,Urânia,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
2215258,Urânia,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
2215259,Urânia,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
2215260,Urânia,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
2215261,Urânia,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
2215262,Urânia,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
2215263,Urânia,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
2215264,Urânia,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2215265,Urânia,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2215266,Urânia,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2215267,Urânia,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2215268,Urânia,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2215269,Urânia,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2215270,Urânia,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
2215271,Urânia,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
2215272,Urânia,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
2215273,Urânia,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
2215274,Urânia,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
2215275,Urânia,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
2215276,Urânia,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
2215277,Urânia,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
2215278,Urânia,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
2215279,Urânia,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
2215280,Urânia,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
2215281,Urânia,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
2215282,Urânia,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
2215283,Urânia,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
2215284,Urânia,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
2215285,Urânia,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
2215286,Urânia,2020-05-24,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
2215287,Urânia,2020-05-25,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2215288,Urânia,2020-05-26,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2215289,Urânia,2020-05-27,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2215290,Urânia,2020-05-28,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2215291,Urânia,2020-05-29,6.0,5,0,0,0.8571428571428571,0.0,6.0,0.0
2215292,Urânia,2020-05-30,11.0,5,0,0,1.5714285714285714,0.0,11.0,0.0
2215293,Urânia,2020-05-31,11.0,0,0,0,1.4285714285714286,0.0,10.0,0.0
2215294,Urânia,2020-06-01,11.0,0,0,0,1.4285714285714286,0.0,10.0,0.0
2215295,Urânia,2020-06-02,11.0,0,0,0,1.4285714285714286,0.0,10.0,0.0
2215296,Urânia,2020-06-03,11.0,0,0,0,1.4285714285714286,0.0,10.0,0.0
2215297,Urânia,2020-06-04,17.0,6,0,0,2.2857142857142856,0.0,16.0,0.0
2215298,Urânia,2020-06-05,17.0,0,0,0,1.5714285714285714,0.0,11.0,0.0
2215299,Urânia,2020-06-06,21.0,4,1,1,1.4285714285714286,0.14285714285714285,10.0,1.0
2215300,Urânia,2020-06-07,31.0,10,1,0,2.857142857142857,0.14285714285714285,20.0,1.0
2215301,Urânia,2020-06-08,31.0,0,1,0,2.857142857142857,0.14285714285714285,20.0,1.0
2215302,Urânia,2020-06-09,31.0,0,2,1,2.857142857142857,0.2857142857142857,20.0,2.0
2215303,Urânia,2020-06-10,32.0,1,2,0,3.0,0.2857142857142857,21.0,2.0
2215304,Urânia,2020-06-11,34.0,2,2,0,2.4285714285714284,0.2857142857142857,17.0,2.0
2215305,Urânia,2020-06-12,37.0,3,2,0,2.857142857142857,0.2857142857142857,20.0,2.0
2215306,Urânia,2020-06-13,37.0,0,3,1,2.2857142857142856,0.2857142857142857,16.0,2.0
