index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
2305800,Vale do Sol,2020-03-27,0.0,0,0,0,1.4285714285714286,0.0,10.0,0.0
2305801,Vale do Sol,2020-03-28,0.0,0,0,0,1.0,0.0,7.0,0.0
2305802,Vale do Sol,2020-03-29,0.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
2305803,Vale do Sol,2020-03-30,0.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
2305804,Vale do Sol,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
2305805,Vale do Sol,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
2305806,Vale do Sol,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2305807,Vale do Sol,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2305808,Vale do Sol,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2305809,Vale do Sol,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2305810,Vale do Sol,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2305811,Vale do Sol,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2305812,Vale do Sol,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
2305813,Vale do Sol,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
2305814,Vale do Sol,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
2305815,Vale do Sol,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
2305816,Vale do Sol,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
2305817,Vale do Sol,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
2305818,Vale do Sol,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
2305819,Vale do Sol,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
2305820,Vale do Sol,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
2305821,Vale do Sol,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
2305822,Vale do Sol,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
2305823,Vale do Sol,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
2305824,Vale do Sol,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
2305825,Vale do Sol,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
2305826,Vale do Sol,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
2305827,Vale do Sol,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
2305828,Vale do Sol,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
2305829,Vale do Sol,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
2305830,Vale do Sol,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
2305831,Vale do Sol,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
2305832,Vale do Sol,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
2305833,Vale do Sol,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
2305834,Vale do Sol,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
2305835,Vale do Sol,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
2305836,Vale do Sol,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2305837,Vale do Sol,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2305838,Vale do Sol,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2305839,Vale do Sol,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2305840,Vale do Sol,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2305841,Vale do Sol,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2305842,Vale do Sol,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
2305843,Vale do Sol,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
2305844,Vale do Sol,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
2305845,Vale do Sol,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
2305846,Vale do Sol,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
2305847,Vale do Sol,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
2305848,Vale do Sol,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
2305849,Vale do Sol,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
2305850,Vale do Sol,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
2305851,Vale do Sol,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
2305852,Vale do Sol,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
2305853,Vale do Sol,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
2305854,Vale do Sol,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
2305855,Vale do Sol,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
2305856,Vale do Sol,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
2305857,Vale do Sol,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
2305858,Vale do Sol,2020-05-24,0.0,0,0,0,0.0,0.0,0.0,0.0
2305859,Vale do Sol,2020-05-25,0.0,0,0,0,0.0,0.0,0.0,0.0
2305860,Vale do Sol,2020-05-26,0.0,0,0,0,0.0,0.0,0.0,0.0
2305861,Vale do Sol,2020-05-27,0.0,0,0,0,0.0,0.0,0.0,0.0
2305862,Vale do Sol,2020-05-28,0.0,0,0,0,0.0,0.0,0.0,0.0
2305863,Vale do Sol,2020-05-29,0.0,0,0,0,0.0,0.0,0.0,0.0
2305864,Vale do Sol,2020-05-30,0.0,0,0,0,0.0,0.0,0.0,0.0
2305865,Vale do Sol,2020-05-31,0.0,0,0,0,0.0,0.0,0.0,0.0
2305866,Vale do Sol,2020-06-01,0.0,0,0,0,0.0,0.0,0.0,0.0
2305867,Vale do Sol,2020-06-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2305868,Vale do Sol,2020-06-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2305869,Vale do Sol,2020-06-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2305870,Vale do Sol,2020-06-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2305871,Vale do Sol,2020-06-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2305872,Vale do Sol,2020-06-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2305873,Vale do Sol,2020-06-08,0.0,0,0,0,0.0,0.0,0.0,0.0
2305874,Vale do Sol,2020-06-09,0.0,0,0,0,0.0,0.0,0.0,0.0
2305875,Vale do Sol,2020-06-10,0.0,0,0,0,0.0,0.0,0.0,0.0
2305876,Vale do Sol,2020-06-11,0.0,0,0,0,0.0,0.0,0.0,0.0
2305877,Vale do Sol,2020-06-12,0.0,0,0,0,0.0,0.0,0.0,0.0
2305878,Vale do Sol,2020-06-13,0.0,0,0,0,0.0,0.0,0.0,0.0
2305879,Vale do Sol,2020-06-14,0.0,0,0,0,0.0,0.0,0.0,0.0
2305880,Vale do Sol,2020-06-15,0.0,0,0,0,0.0,0.0,0.0,0.0
2305881,Vale do Sol,2020-06-16,0.0,0,0,0,0.0,0.0,0.0,0.0
2305882,Vale do Sol,2020-06-17,0.0,0,0,0,0.0,0.0,0.0,0.0
2305883,Vale do Sol,2020-06-18,0.0,0,0,0,0.0,0.0,0.0,0.0
2305884,Vale do Sol,2020-06-19,0.0,0,0,0,0.0,0.0,0.0,0.0
2305885,Vale do Sol,2020-06-20,0.0,0,0,0,0.0,0.0,0.0,0.0
2305886,Vale do Sol,2020-06-21,0.0,0,0,0,0.0,0.0,0.0,0.0
2305887,Vale do Sol,2020-06-22,0.0,0,0,0,0.0,0.0,0.0,0.0
2305888,Vale do Sol,2020-06-23,0.0,0,0,0,0.0,0.0,0.0,0.0
2305889,Vale do Sol,2020-06-24,0.0,0,0,0,0.0,0.0,0.0,0.0
2305890,Vale do Sol,2020-06-25,0.0,0,0,0,0.0,0.0,0.0,0.0
2305891,Vale do Sol,2020-06-26,0.0,0,0,0,0.0,0.0,0.0,0.0
2305892,Vale do Sol,2020-06-27,0.0,0,0,0,0.0,0.0,0.0,0.0
2305893,Vale do Sol,2020-06-28,0.0,0,0,0,0.0,0.0,0.0,0.0
2305894,Vale do Sol,2020-06-29,0.0,0,0,0,0.0,0.0,0.0,0.0
2305895,Vale do Sol,2020-06-30,0.0,0,0,0,0.0,0.0,0.0,0.0
2305896,Vale do Sol,2020-07-01,0.0,0,0,0,0.0,0.0,0.0,0.0
2305897,Vale do Sol,2020-07-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2305898,Vale do Sol,2020-07-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2305899,Vale do Sol,2020-07-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2305900,Vale do Sol,2020-07-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2305901,Vale do Sol,2020-07-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2305902,Vale do Sol,2020-07-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2305903,Vale do Sol,2020-07-08,0.0,0,0,0,0.0,0.0,0.0,0.0
2305904,Vale do Sol,2020-07-09,0.0,0,0,0,0.0,0.0,0.0,0.0
2305905,Vale do Sol,2020-07-10,0.0,0,0,0,0.0,0.0,0.0,0.0
2305906,Vale do Sol,2020-07-11,0.0,0,0,0,0.0,0.0,0.0,0.0
2305907,Vale do Sol,2020-07-12,0.0,0,0,0,0.0,0.0,0.0,0.0
2305908,Vale do Sol,2020-07-13,0.0,0,0,0,0.0,0.0,0.0,0.0
2305909,Vale do Sol,2020-07-14,0.0,0,0,0,0.0,0.0,0.0,0.0
2305910,Vale do Sol,2020-07-15,0.0,0,0,0,0.0,0.0,0.0,0.0
2305911,Vale do Sol,2020-07-16,0.0,0,0,0,0.0,0.0,0.0,0.0
2305912,Vale do Sol,2020-07-17,0.0,0,0,0,0.0,0.0,0.0,0.0
2305913,Vale do Sol,2020-07-18,0.0,0,0,0,0.0,0.0,0.0,0.0
2305914,Vale do Sol,2020-07-19,0.0,0,0,0,0.0,0.0,0.0,0.0
2305915,Vale do Sol,2020-07-20,0.0,0,0,0,0.0,0.0,0.0,0.0
2305916,Vale do Sol,2020-07-21,0.0,0,0,0,0.0,0.0,0.0,0.0
2305917,Vale do Sol,2020-07-22,0.0,0,0,0,0.0,0.0,0.0,0.0
2305918,Vale do Sol,2020-07-23,0.0,0,0,0,0.0,0.0,0.0,0.0
2305919,Vale do Sol,2020-07-24,0.0,0,0,0,0.0,0.0,0.0,0.0
2305920,Vale do Sol,2020-07-25,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
2305921,Vale do Sol,2020-07-26,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2305922,Vale do Sol,2020-07-27,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2305923,Vale do Sol,2020-07-28,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2305924,Vale do Sol,2020-07-29,4.0,3,0,0,0.5714285714285714,0.0,4.0,0.0
2305925,Vale do Sol,2020-07-30,5.0,1,0,0,0.7142857142857143,0.0,5.0,0.0
2305926,Vale do Sol,2020-07-31,5.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
2305927,Vale do Sol,2020-08-01,5.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
2305928,Vale do Sol,2020-08-02,5.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
2305929,Vale do Sol,2020-08-03,5.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
2305930,Vale do Sol,2020-08-04,6.0,1,0,0,0.7142857142857143,0.0,5.0,0.0
2305931,Vale do Sol,2020-08-05,6.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2305932,Vale do Sol,2020-08-06,6.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2305933,Vale do Sol,2020-08-07,6.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2305934,Vale do Sol,2020-08-08,6.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2305935,Vale do Sol,2020-08-09,6.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2305936,Vale do Sol,2020-08-10,6.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2305937,Vale do Sol,2020-08-11,6.0,0,0,0,0.0,0.0,0.0,0.0
2305938,Vale do Sol,2020-08-12,6.0,0,0,0,0.0,0.0,0.0,0.0
2305939,Vale do Sol,2020-08-13,6.0,0,0,0,0.0,0.0,0.0,0.0
2305940,Vale do Sol,2020-08-14,6.0,0,0,0,0.0,0.0,0.0,0.0
2305941,Vale do Sol,2020-08-15,6.0,0,0,0,0.0,0.0,0.0,0.0
2305942,Vale do Sol,2020-08-16,6.0,0,0,0,0.0,0.0,0.0,0.0
2305943,Vale do Sol,2020-08-17,6.0,0,0,0,0.0,0.0,0.0,0.0
2305944,Vale do Sol,2020-08-18,7.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
2305945,Vale do Sol,2020-08-19,8.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
2305946,Vale do Sol,2020-08-20,8.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
