index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
2324400,Vilhena,2020-03-27,0.0,0,0,0,174.85714285714286,2.0,1224.0,14.0
2324401,Vilhena,2020-03-28,0.0,0,0,0,110.42857142857143,1.2857142857142858,773.0,9.0
2324402,Vilhena,2020-03-29,0.0,0,0,0,113.0,1.2857142857142858,791.0,9.0
2324403,Vilhena,2020-03-30,0.0,0,0,0,90.14285714285714,1.1428571428571428,631.0,8.0
2324404,Vilhena,2020-03-31,0.0,0,0,0,58.0,1.2857142857142858,406.0,9.0
2324405,Vilhena,2020-04-01,0.0,0,0,0,31.428571428571427,0.7142857142857143,220.0,5.0
2324406,Vilhena,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2324407,Vilhena,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2324408,Vilhena,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2324409,Vilhena,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2324410,Vilhena,2020-04-06,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
2324411,Vilhena,2020-04-07,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2324412,Vilhena,2020-04-08,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2324413,Vilhena,2020-04-09,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2324414,Vilhena,2020-04-10,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2324415,Vilhena,2020-04-11,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2324416,Vilhena,2020-04-12,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2324417,Vilhena,2020-04-13,1.0,0,0,0,0.0,0.0,0.0,0.0
2324418,Vilhena,2020-04-14,1.0,0,0,0,0.0,0.0,0.0,0.0
2324419,Vilhena,2020-04-15,1.0,0,0,0,0.0,0.0,0.0,0.0
2324420,Vilhena,2020-04-16,1.0,0,0,0,0.0,0.0,0.0,0.0
2324421,Vilhena,2020-04-17,1.0,0,0,0,0.0,0.0,0.0,0.0
2324422,Vilhena,2020-04-18,1.0,0,0,0,0.0,0.0,0.0,0.0
2324423,Vilhena,2020-04-19,1.0,0,0,0,0.0,0.0,0.0,0.0
2324424,Vilhena,2020-04-20,1.0,0,0,0,0.0,0.0,0.0,0.0
2324425,Vilhena,2020-04-21,1.0,0,0,0,0.0,0.0,0.0,0.0
2324426,Vilhena,2020-04-22,1.0,0,0,0,0.0,0.0,0.0,0.0
2324427,Vilhena,2020-04-23,1.0,0,0,0,0.0,0.0,0.0,0.0
2324428,Vilhena,2020-04-24,1.0,0,0,0,0.0,0.0,0.0,0.0
2324429,Vilhena,2020-04-25,1.0,0,0,0,0.0,0.0,0.0,0.0
2324430,Vilhena,2020-04-26,1.0,0,0,0,0.0,0.0,0.0,0.0
2324431,Vilhena,2020-04-27,1.0,0,0,0,0.0,0.0,0.0,0.0
2324432,Vilhena,2020-04-28,1.0,0,0,0,0.0,0.0,0.0,0.0
2324433,Vilhena,2020-04-29,1.0,0,0,0,0.0,0.0,0.0,0.0
2324434,Vilhena,2020-04-30,1.0,0,0,0,0.0,0.0,0.0,0.0
2324435,Vilhena,2020-05-01,2.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
2324436,Vilhena,2020-05-02,3.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
2324437,Vilhena,2020-05-03,5.0,2,0,0,0.5714285714285714,0.0,4.0,0.0
2324438,Vilhena,2020-05-04,6.0,1,0,0,0.7142857142857143,0.0,5.0,0.0
2324439,Vilhena,2020-05-05,6.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
