index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
2263744,Vitorino,2020-03-27,0.0,0,0,0,0.0,0.0,0.0,0.0
2263745,Vitorino,2020-03-28,0.0,0,0,0,0.0,0.0,0.0,0.0
2263746,Vitorino,2020-03-29,0.0,0,0,0,0.0,0.0,0.0,0.0
2263747,Vitorino,2020-03-30,0.0,0,0,0,0.0,0.0,0.0,0.0
2263748,Vitorino,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
2263749,Vitorino,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
2263750,Vitorino,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2263751,Vitorino,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2263752,Vitorino,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2263753,Vitorino,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2263754,Vitorino,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2263755,Vitorino,2020-04-07,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
2263756,Vitorino,2020-04-08,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2263757,Vitorino,2020-04-09,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2263758,Vitorino,2020-04-10,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2263759,Vitorino,2020-04-11,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2263760,Vitorino,2020-04-12,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2263761,Vitorino,2020-04-13,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2263762,Vitorino,2020-04-14,1.0,0,0,0,0.0,0.0,0.0,0.0
2263763,Vitorino,2020-04-15,1.0,0,0,0,0.0,0.0,0.0,0.0
2263764,Vitorino,2020-04-16,1.0,0,0,0,0.0,0.0,0.0,0.0
2263765,Vitorino,2020-04-17,1.0,0,0,0,0.0,0.0,0.0,0.0
2263766,Vitorino,2020-04-18,1.0,0,0,0,0.0,0.0,0.0,0.0
2263767,Vitorino,2020-04-19,1.0,0,0,0,0.0,0.0,0.0,0.0
2263768,Vitorino,2020-04-20,1.0,0,0,0,0.0,0.0,0.0,0.0
2263769,Vitorino,2020-04-21,1.0,0,0,0,0.0,0.0,0.0,0.0
2263770,Vitorino,2020-04-22,1.0,0,0,0,0.0,0.0,0.0,0.0
2263771,Vitorino,2020-04-23,1.0,0,0,0,0.0,0.0,0.0,0.0
2263772,Vitorino,2020-04-24,1.0,0,0,0,0.0,0.0,0.0,0.0
2263773,Vitorino,2020-04-25,1.0,0,0,0,0.0,0.0,0.0,0.0
2263774,Vitorino,2020-04-26,1.0,0,0,0,0.0,0.0,0.0,0.0
2263775,Vitorino,2020-04-27,1.0,0,0,0,0.0,0.0,0.0,0.0
2263776,Vitorino,2020-04-28,1.0,0,0,0,0.0,0.0,0.0,0.0
2263777,Vitorino,2020-04-29,1.0,0,0,0,0.0,0.0,0.0,0.0
2263778,Vitorino,2020-04-30,1.0,0,0,0,0.0,0.0,0.0,0.0
2263779,Vitorino,2020-05-01,1.0,0,0,0,0.0,0.0,0.0,0.0
2263780,Vitorino,2020-05-02,1.0,0,0,0,0.0,0.0,0.0,0.0
2263781,Vitorino,2020-05-03,1.0,0,0,0,0.0,0.0,0.0,0.0
2263782,Vitorino,2020-05-04,1.0,0,0,0,0.0,0.0,0.0,0.0
