index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
2188648,Várzea Nova,2020-03-27,0.0,0,0,0,129.57142857142858,2.2857142857142856,907.0,16.0
2188649,Várzea Nova,2020-03-28,0.0,0,0,0,117.42857142857143,2.0,822.0,14.0
2188650,Várzea Nova,2020-03-29,0.0,0,0,0,106.14285714285714,1.7142857142857142,743.0,12.0
2188651,Várzea Nova,2020-03-30,0.0,0,0,0,46.857142857142854,1.5714285714285714,328.0,11.0
2188652,Várzea Nova,2020-03-31,0.0,0,0,0,21.714285714285715,1.2857142857142858,152.0,9.0
2188653,Várzea Nova,2020-04-01,0.0,0,0,0,15.571428571428571,0.7142857142857143,109.0,5.0
2188654,Várzea Nova,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2188655,Várzea Nova,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2188656,Várzea Nova,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2188657,Várzea Nova,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2188658,Várzea Nova,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2188659,Várzea Nova,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2188660,Várzea Nova,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
2188661,Várzea Nova,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
2188662,Várzea Nova,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
2188663,Várzea Nova,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
2188664,Várzea Nova,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
2188665,Várzea Nova,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
2188666,Várzea Nova,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
2188667,Várzea Nova,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
2188668,Várzea Nova,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
2188669,Várzea Nova,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
2188670,Várzea Nova,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
2188671,Várzea Nova,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
2188672,Várzea Nova,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
2188673,Várzea Nova,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
2188674,Várzea Nova,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
2188675,Várzea Nova,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
2188676,Várzea Nova,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
2188677,Várzea Nova,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
2188678,Várzea Nova,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
2188679,Várzea Nova,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
2188680,Várzea Nova,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
2188681,Várzea Nova,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
2188682,Várzea Nova,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
2188683,Várzea Nova,2020-05-01,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
2188684,Várzea Nova,2020-05-02,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2188685,Várzea Nova,2020-05-03,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2188686,Várzea Nova,2020-05-04,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
