index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
2358720,Água Branca,2020-03-27,0.0,0,0,0,12.142857142857142,0.42857142857142855,85.0,3.0
2358721,Água Branca,2020-03-28,0.0,0,0,0,11.0,0.42857142857142855,77.0,3.0
2358722,Água Branca,2020-03-29,0.0,0,0,0,10.714285714285714,0.42857142857142855,75.0,3.0
2358723,Água Branca,2020-03-30,0.0,0,0,0,8.428571428571429,0.14285714285714285,59.0,1.0
2358724,Água Branca,2020-03-31,0.0,0,0,0,2.857142857142857,0.14285714285714285,20.0,1.0
2358725,Água Branca,2020-04-01,0.0,0,0,0,2.5714285714285716,0.14285714285714285,18.0,1.0
2358726,Água Branca,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2358727,Água Branca,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2358728,Água Branca,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2358729,Água Branca,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2358730,Água Branca,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2358731,Água Branca,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2358732,Água Branca,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
2358733,Água Branca,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
2358734,Água Branca,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
2358735,Água Branca,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
2358736,Água Branca,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
2358737,Água Branca,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
2358738,Água Branca,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
2358739,Água Branca,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
2358740,Água Branca,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
2358741,Água Branca,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
2358742,Água Branca,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
2358743,Água Branca,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
2358744,Água Branca,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
2358745,Água Branca,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
2358746,Água Branca,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
2358747,Água Branca,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
2358748,Água Branca,2020-04-24,3.0,3,0,0,0.42857142857142855,0.0,3.0,0.0
2358749,Água Branca,2020-04-25,4.0,1,0,0,0.5714285714285714,0.0,4.0,0.0
2358750,Água Branca,2020-04-26,4.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
2358751,Água Branca,2020-04-27,4.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
2358752,Água Branca,2020-04-28,6.0,2,0,0,0.8571428571428571,0.0,6.0,0.0
