index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
2243316,Água Clara,2020-03-27,0.0,0,0,0,9.857142857142858,0.42857142857142855,69.0,3.0
2243317,Água Clara,2020-03-28,0.0,0,0,0,7.428571428571429,0.42857142857142855,52.0,3.0
2243318,Água Clara,2020-03-29,0.0,0,0,0,6.428571428571429,0.2857142857142857,45.0,2.0
2243319,Água Clara,2020-03-30,0.0,0,0,0,5.0,0.14285714285714285,35.0,1.0
2243320,Água Clara,2020-03-31,0.0,0,0,0,4.142857142857143,0.0,29.0,0.0
2243321,Água Clara,2020-04-01,0.0,0,0,0,2.5714285714285716,0.0,18.0,0.0
2243322,Água Clara,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2243323,Água Clara,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2243324,Água Clara,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2243325,Água Clara,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2243326,Água Clara,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2243327,Água Clara,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2243328,Água Clara,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
2243329,Água Clara,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
2243330,Água Clara,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
2243331,Água Clara,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
2243332,Água Clara,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
2243333,Água Clara,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
2243334,Água Clara,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
2243335,Água Clara,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
2243336,Água Clara,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
2243337,Água Clara,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
2243338,Água Clara,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
2243339,Água Clara,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
2243340,Água Clara,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
2243341,Água Clara,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
2243342,Água Clara,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
2243343,Água Clara,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
2243344,Água Clara,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
2243345,Água Clara,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
2243346,Água Clara,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
2243347,Água Clara,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
2243348,Água Clara,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
2243349,Água Clara,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
2243350,Água Clara,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
2243351,Água Clara,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
2243352,Água Clara,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2243353,Água Clara,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2243354,Água Clara,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2243355,Água Clara,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2243356,Água Clara,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2243357,Água Clara,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2243358,Água Clara,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
2243359,Água Clara,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
2243360,Água Clara,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
2243361,Água Clara,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
2243362,Água Clara,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
2243363,Água Clara,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
2243364,Água Clara,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
2243365,Água Clara,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
2243366,Água Clara,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
2243367,Água Clara,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
2243368,Água Clara,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
2243369,Água Clara,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
2243370,Água Clara,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
2243371,Água Clara,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
2243372,Água Clara,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
2243373,Água Clara,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
2243374,Água Clara,2020-05-24,0.0,0,0,0,0.0,0.0,0.0,0.0
2243375,Água Clara,2020-05-25,0.0,0,0,0,0.0,0.0,0.0,0.0
2243376,Água Clara,2020-05-26,0.0,0,0,0,0.0,0.0,0.0,0.0
2243377,Água Clara,2020-05-27,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
2243378,Água Clara,2020-05-28,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2243379,Água Clara,2020-05-29,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2243380,Água Clara,2020-05-30,2.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
2243381,Água Clara,2020-05-31,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2243382,Água Clara,2020-06-01,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2243383,Água Clara,2020-06-02,3.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
2243384,Água Clara,2020-06-03,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2243385,Água Clara,2020-06-04,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2243386,Água Clara,2020-06-05,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2243387,Água Clara,2020-06-06,5.0,2,0,0,0.42857142857142855,0.0,3.0,0.0
2243388,Água Clara,2020-06-07,5.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
2243389,Água Clara,2020-06-08,5.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
2243390,Água Clara,2020-06-09,5.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2243391,Água Clara,2020-06-10,5.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2243392,Água Clara,2020-06-11,5.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
