index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
2249863,Água Doce do Maranhão,2020-03-27,0.0,0,0,0,5.142857142857143,0.0,36.0,0.0
2249864,Água Doce do Maranhão,2020-03-28,0.0,0,0,0,4.428571428571429,0.0,31.0,0.0
2249865,Água Doce do Maranhão,2020-03-29,0.0,0,0,0,2.857142857142857,0.0,20.0,0.0
2249866,Água Doce do Maranhão,2020-03-30,0.0,0,0,0,2.857142857142857,0.0,20.0,0.0
2249867,Água Doce do Maranhão,2020-03-31,0.0,0,0,0,2.5714285714285716,0.0,18.0,0.0
2249868,Água Doce do Maranhão,2020-04-01,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2249869,Água Doce do Maranhão,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2249870,Água Doce do Maranhão,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2249871,Água Doce do Maranhão,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2249872,Água Doce do Maranhão,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2249873,Água Doce do Maranhão,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2249874,Água Doce do Maranhão,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2249875,Água Doce do Maranhão,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
2249876,Água Doce do Maranhão,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
2249877,Água Doce do Maranhão,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
2249878,Água Doce do Maranhão,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
2249879,Água Doce do Maranhão,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
2249880,Água Doce do Maranhão,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
2249881,Água Doce do Maranhão,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
2249882,Água Doce do Maranhão,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
2249883,Água Doce do Maranhão,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
2249884,Água Doce do Maranhão,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
2249885,Água Doce do Maranhão,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
2249886,Água Doce do Maranhão,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
