index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
2247576,Água Santa,2020-03-27,0.0,0,0,0,3.142857142857143,0.2857142857142857,22.0,2.0
2247577,Água Santa,2020-03-28,0.0,0,0,0,1.7142857142857142,0.14285714285714285,12.0,1.0
2247578,Água Santa,2020-03-29,0.0,0,0,0,1.7142857142857142,0.14285714285714285,12.0,1.0
2247579,Água Santa,2020-03-30,0.0,0,0,0,1.7142857142857142,0.0,12.0,0.0
2247580,Água Santa,2020-03-31,0.0,0,0,0,1.7142857142857142,0.0,12.0,0.0
2247581,Água Santa,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
2247582,Água Santa,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2247583,Água Santa,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2247584,Água Santa,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2247585,Água Santa,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2247586,Água Santa,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2247587,Água Santa,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2247588,Água Santa,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
2247589,Água Santa,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
2247590,Água Santa,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
2247591,Água Santa,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
2247592,Água Santa,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
2247593,Água Santa,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
2247594,Água Santa,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
2247595,Água Santa,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
2247596,Água Santa,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
2247597,Água Santa,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
2247598,Água Santa,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
2247599,Água Santa,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
2247600,Água Santa,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
2247601,Água Santa,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
2247602,Água Santa,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
2247603,Água Santa,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
2247604,Água Santa,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
2247605,Água Santa,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
2247606,Água Santa,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
2247607,Água Santa,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
2247608,Água Santa,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
2247609,Água Santa,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
2247610,Água Santa,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
2247611,Água Santa,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
2247612,Água Santa,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2247613,Água Santa,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2247614,Água Santa,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2247615,Água Santa,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2247616,Água Santa,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2247617,Água Santa,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2247618,Água Santa,2020-05-08,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
2247619,Água Santa,2020-05-09,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
2247620,Água Santa,2020-05-10,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
