index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
2312202,Águas Frias,2020-03-27,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
2312203,Águas Frias,2020-03-28,0.0,0,0,0,0.0,0.0,0.0,0.0
2312204,Águas Frias,2020-03-29,0.0,0,0,0,0.0,0.0,0.0,0.0
2312205,Águas Frias,2020-03-30,0.0,0,0,0,0.0,0.0,0.0,0.0
2312206,Águas Frias,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
2312207,Águas Frias,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
2312208,Águas Frias,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2312209,Águas Frias,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2312210,Águas Frias,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2312211,Águas Frias,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2312212,Águas Frias,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2312213,Águas Frias,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2312214,Águas Frias,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
2312215,Águas Frias,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
2312216,Águas Frias,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
2312217,Águas Frias,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
2312218,Águas Frias,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
2312219,Águas Frias,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
2312220,Águas Frias,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
2312221,Águas Frias,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
2312222,Águas Frias,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
2312223,Águas Frias,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
2312224,Águas Frias,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
2312225,Águas Frias,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
2312226,Águas Frias,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
2312227,Águas Frias,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
2312228,Águas Frias,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
2312229,Águas Frias,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
2312230,Águas Frias,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
2312231,Águas Frias,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
2312232,Águas Frias,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
2312233,Águas Frias,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
2312234,Águas Frias,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
2312235,Águas Frias,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
2312236,Águas Frias,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
2312237,Águas Frias,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
2312238,Águas Frias,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
2312239,Águas Frias,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
2312240,Águas Frias,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
2312241,Águas Frias,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
2312242,Águas Frias,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
2312243,Águas Frias,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
2312244,Águas Frias,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
